法條名稱,法條編號,法條內容
交通部公路局公路人員訓練所辦事細則,第 2 條,所長綜理所務，並指揮、監督所屬人員；副所長襄助所長處理所務。
交通部公路局公路人員訓練所辦事細則,第 3 條,本所設下列科、室、訓練中心：一、培訓規劃科。二、技術發展科。三、證照檢定科。四、道安輔導科。五、秘書室。六、人事室。七、主計室。八、訓練中心。
交通部公路局公路人員訓練所辦事細則,第 4 條,培訓規劃科掌理事項如下：一、公路人員專案、汽車駕駛、駕訓師資、交通專業技術及其他機關委託之訓練。二、訓練計畫需求之審查及規劃。三、訓練計畫之擬訂、執行及管考。四、師資之遴選、訓練、聘任、調派、協調及管理。五、新知識、新技術、教學方法之蒐集研究及教案之製作。六、訓練業務法規、程序之研擬、修編及管理。七、訓練協調會議之召集、執行及管考。八、其他有關培訓規劃事項。
交通部公路局公路人員訓練所辦事細則,第 5 條,技術發展科掌理事項如下：一、汽車技術與訓練機務之導入及研究。二、車輛機務之管理。三、車輛及機具之保養修護。四、教學實習之辦理。五、車輛及機具財產之管理。六、其他有關技術發展事項。
交通部公路局公路人員訓練所辦事細則,第 6 條,證照檢定科掌理事項如下：一、汽車考驗員及檢驗員之檢定。二、汽車修護技工之考驗。三、考驗及檢定法規、標準之研擬。四、考驗及檢定試務之辦理。五、證照事務之管理。六、其他有關證照檢定事項。
交通部公路局公路人員訓練所辦事細則,第 7 條,道安輔導科掌理事項如下：一、道路交通安全之教育及宣導。二、道路交通安全法規訂定或修正之技術面研析。三、汽車運輸業從業人員職能維持之定期講習。四、交通法規講師及汽車駕駛人訓練機構各類師資職能維持之定期講習。五、道路交通安全教學研究、教案編審製作、教學方法之蒐集及宣導。六、道路交通安全教育與政令宣導成果之統計、分析及處理。七、其他有關道路交通安全輔導事項。
交通部公路局公路人員訓練所辦事細則,第 8 條,秘書室掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財務、營繕、採購及其他事務之管理。三、國會聯絡、媒體公關事務之規劃、研擬、執行及管考。四、不動產管理、環境清潔、衛生及學員膳宿之管理。五、工友（含技工、駕駛）及駐衛警之管理。六、不屬其他各科、室、訓練中心事項。
交通部公路局公路人員訓練所辦事細則,第 9 條,人事室掌理本所人事事項。
交通部公路局公路人員訓練所辦事細則,第 10 條,主計室掌理本所歲計、會計及統計事項。
交通部公路局公路人員訓練所辦事細則,第 11 條,各訓練中心掌理事項如下：一、執行各項道路交通安全之教育、宣導及講習。二、執行公路人員專案、汽車駕駛、駕訓師資、交通專業技術之訓練、檢定及證照核發。三、檢定相關車輛、機具、儀器及設備之管理。四、執行汽車新技術之研發、訓練及宣導。五、其他有關訓練事項。
交通部公路局公路人員訓練所辦事細則,第 12 條,本所處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部公路局公路人員訓練所辦事細則,第 13 條,本細則自中華民國一百十二年九月十五日施行。
