法條名稱,法條編號,法條內容
交通部公路局各區養護工程分局辦事細則,第 1 條,交通部公路局各區養護工程分局（以下簡稱工程分局）為處理內部單位之分工職掌，特訂定本細則。
交通部公路局各區養護工程分局辦事細則,第 2 條,分局長綜理工程分局業務，並指揮、監督所屬人員；副分局長襄助分局長處理工程分局業務。
交通部公路局各區養護工程分局辦事細則,第 3 條,主任工程司權責如下：一、文稿之綜核及代判。二、機密及重要文件之處理。三、各單位之協調及權責問題之核議。四、重要會議之籌辦。五、其他交辦事項。
交通部公路局各區養護工程分局辦事細則,第 4 條,工程分局得設科、中心、室、段，並得應業務需要設監工站，如附表。
交通部公路局各區養護工程分局辦事細則,第 5 條,企劃科掌理事項如下：一、公路工程之測量、規劃及設計。二、公路改善計畫之研擬及管理。三、公路工程之環境影響評估。四、新闢公路之彙辦。五、公路工程之研究發展、管制及考核。六、其他有關企劃事項。
交通部公路局各區養護工程分局辦事細則,第 6 條,養護科掌理事項如下：一、公路養護之督導、管理及執行。二、公路養護工程之審核、管制及考核。三、公路養護工程水土保持案件之辦理及環境監測追蹤考核。四、公路之植栽、景觀改善及維護。五、公路災害搶修及復建作業之處理。六、公路路面挖掘與橋梁管線附掛之申請、管理及修復。七、公路橋梁、隧道安全之檢測及維護。八、其他有關養護事項。
交通部公路局各區養護工程分局辦事細則,第 7 條,工務科掌理事項如下：一、公路新建與改善工程之執行、管制及考核。二、公路改善工程水土保持案件之辦理；剩餘土石方之處理及環境監測追蹤考核。三、公路建築工程施工之審核、管制及考核。四、各項工程材料之檢驗、試驗及認證。五、試驗儀器之採購、修理及送校。六、公路工程品質管理之執行查核及稽核。七、公路工程品質管理之教育訓練。八、其他有關工務事項。
交通部公路局各區養護工程分局辦事細則,第 8 條,產管科掌理事項如下：一、公路用地取得案件之處理。二、公路產權之維護及地籍管理。三、公路用地地籍之重測指界、複丈、鑑界及配合作業。四、車輛及機具之管理。五、搶修橋材庫與各項搶修橋材之管理及維護。六、工程、財物及勞務採購招標作業。七、其他有關產權管理事項。
交通部公路局各區養護工程分局辦事細則,第 9 條,職安科掌理事項如下：一、公路土木工程或營建工程工地職業災害之調查、處理、防止及改善。二、公路土木工程或營建工程勞工職業安全衛生、環境保護之管理及督導。三、公路土木工程或營建工程勞工職業安全衛生自動檢查計畫之研擬、執行、督導及追蹤處理。四、公路土木工程或營建工程勞工職業安全衛生教育訓練。五、國家賠償案件之處理。六、其他有關職業安全衛生事項。
交通部公路局各區養護工程分局辦事細則,第 10 條,交通管理及控制中心掌理事項如下：一、交通管理措施之研擬、執行、協調及推動。二、交通工程與交通安全設施之設置及維護。三、公路交通工程規劃、設計、施工之審核及管理。四、公路交通量之調查、統計及分析。五、交通控制設施之建置、管理及維護。六、各項公路工程之交通維持計畫之審查。七、公路天然災害防救之整備；應變措施之執行及教育訓練。八、資訊作業之管理及資通安全之維護。九、其他有關交通管理及控制事項。
交通部公路局各區養護工程分局辦事細則,第 11 條,秘書室掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財務、營繕、採購及其他事務之管理。三、國會聯絡、媒體公關事務之規劃、研擬、執行及管考。四、工友（含技工、駕駛）及駐衛警之管理。五、不屬其他各科、中心、室、段事項。
交通部公路局各區養護工程分局辦事細則,第 12 條,人事室掌理工程分局人事事項。
交通部公路局各區養護工程分局辦事細則,第 13 條,政風室掌理工程分局政風事項。
交通部公路局各區養護工程分局辦事細則,第 14 條,主計室掌理工程分局歲計、會計及統計事項。
交通部公路局各區養護工程分局辦事細則,第 15 條,各工務段掌理事項如下：一、公路養護計畫之擬訂及執行。二、公路養護、改善工程及交通管理之執行。三、公路之植栽、景觀改善維護及執行。四、公路災害應變、通報搶修及復建作業之執行。五、公路挖掘之受理申請及管理。六、公路路籍及路權之維護。七、其他有關工務段事項。
交通部公路局各區養護工程分局辦事細則,第 16 條,工程分局處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部公路局各區養護工程分局辦事細則,第 17 條,本細則自中華民國一百十二年九月十五日施行。
