法條名稱,法條編號,法條內容
交通部公路局蘇花公路改善工程處辦事細則,第 2 條,處長綜理處務，並指揮、監督所屬人員；副處長襄助處長處理處務。
交通部公路局蘇花公路改善工程處辦事細則,第 3 條,主任工程司權責如下：一、文稿之綜核及代判。二、機密及重要文件之處理。三、各單位協調及權責問題之核議。四、重要會議之籌辦。五、其他交辦事項。
交通部公路局蘇花公路改善工程處辦事細則,第 4 條,本處設下列科、室、段：一、設計科。二、工程科。三、用地科。四、職安科。五、秘書室。六、人事室。七、政風室。八、主計室。九、各工務段。
交通部公路局蘇花公路改善工程處辦事細則,第 5 條,設計科掌理事項如下：一、公路整建計畫之擬訂、管理及執行；計畫路線之先期勘察及方案擬訂。二、公路整建工程之規劃、測量、設計；地質探查之審核、管制及考核。三、公路整建工程環境影響評估案件之規劃、設計階段之審核、管制及考核。四、其他有關設計事項。
交通部公路局蘇花公路改善工程處辦事細則,第 6 條,工程科掌理事項如下：一、公路工程採購案件之處理。二、公路整建工程施工之審核、管制及考核。三、公路整建工程品質稽查計畫之擬訂、執行、驗收及移交。四、公路工程計畫年度預算之執行及管控。五、公路建築工程施工之審核、管制及考核。六、公路工程相關教育訓練作業之辦理。七、公路工程爭議之調解、仲裁或訴訟業務之處理。八、其他有關工程事項。
交通部公路局蘇花公路改善工程處辦事細則,第 7 條,用地科掌理事項如下：一、公路工程用地取得案件之處理。二、公路產權之維護及地籍之管理。三、其他有關用地事項。
交通部公路局蘇花公路改善工程處辦事細則,第 8 條,職安科掌理事項如下：一、公路土木工程與營建工程工地職業災害之調查、處理、防止及改善。二、公路土木工程與營建工程勞工職業安全衛生、環境保護之管理及督導。三、公路土木工程與營建工程勞工職業安全衛生自動檢查計畫之研擬、執行、督導及追蹤處理。四、公路土木工程及營建工程勞工職業安全衛生教育訓練之辦理。五、國家賠償案件之處理。六、其他有關職業安全衛生事項。
交通部公路局蘇花公路改善工程處辦事細則,第 9 條,秘書室掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財務、營繕、採購、公務車輛及其他事務之管理。三、國會聯絡、媒體公關事務之規劃、研擬、執行及管考。四、工友（含技工、駕駛）及駐衛警之管理。五、本處災害防救之聯繫及安全防護。六、不屬其他各科、室、段事項。
交通部公路局蘇花公路改善工程處辦事細則,第 10 條,人事室掌理本處人事事項。
交通部公路局蘇花公路改善工程處辦事細則,第 11 條,政風室掌理本處政風事項。
交通部公路局蘇花公路改善工程處辦事細則,第 12 條,主計室掌理本處歲計、會計及統計事項。
交通部公路局蘇花公路改善工程處辦事細則,第 13 條,各工務段掌理事項如下：一、公路整建工程之執行。二、公路各項工程之交通維持；勞工職業安全衛生、環境保護之工地督導及稽查。三、公路工程災害之緊急處理。四、其他有關工務段事項。
交通部公路局蘇花公路改善工程處辦事細則,第 14 條,本處處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部公路局蘇花公路改善工程處辦事細則,第 15 條,本細則自中華民國一百十二年九月十五日施行。
