法條名稱,法條編號,法條內容
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 2 條,所長綜理所務，並指揮、監督所屬人員；副所長襄助所長處理所務。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 3 條,本所設下列科、室：一、教務科。二、培訓推廣科。三、實習科。四、秘書室。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 4 條,教務科掌理事項如下：一、施政計畫之擬訂及彙編。二、訓練計畫需求之審查及規劃。三、訓練計畫之擬訂、實施及管考。四、師資遴選、訓練、聘任、調派、協調及管理。五、新知識、新技術、教學方法之蒐集研究及擬訂。六、訓練教材、書籍之蒐集及編審。七、訓練業務法規、程序之研擬、修編及訓練技術文件之處理。八、訓練協調會議之召集、執行及管考。九、訓練成果之統計、分析及處理。十、其他有關教務事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 5 條,培訓推廣科掌理事項如下：一、培訓推廣計畫之擬訂、實施及管考。二、培訓業務之研究、評估及推廣。三、培訓班次師資之選聘、協調及管理。四、民航相關單位開課計畫、審查會議及培訓計畫之研擬。五、民航相關單位委託訓練計畫之規劃辦理。六、民航人才訓練資源、技術之蒐集、規劃、諮詢、輔導及協調。七、國內外培訓機構之聯繫、協調、合作及交流。八、資訊作業之管理及資通安全之維護。九、其他有關培訓推廣事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 6 條,實習科掌理事項如下：一、民航人員實習訓練計畫之擬訂、執行及管考。二、民航人員在職訓練計畫之擬訂、執行及管考。三、民航人員訓練實習及電腦化教學之執行。四、在職訓練師資之選聘、調配、管理及協調。五、實習教材、教具、教學設備之蒐集、策劃及改進。六、在職訓練個人資料之建立。七、實習見學及觀摩之策劃。八、遠距教學計畫之擬訂、執行及管考協調事項。九、其他有關實習事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 7 條,秘書室掌理事項如下：一、各類經費、專款、有價證券之出納、保管、登記及核對。二、民航專業訓練器材、一般財產物品之購置、保管、供應、修繕、調配、登記及處理。三、員工薪餉製發、勞工保險及眷屬全民健康保險之簽辦。四、安全、勞工、集會、辦公處所及車輛之管理。五、印信典守、公文收發、分文、繕校、稽催、管制、統計及考核。六、工級人員僱用、考核及退撫案件之審查。七、檔案、圖書及出版品申請之管理。八、不屬其他各科、室之事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 8 條,本所置人事管理員，由交通部民用航空局派員兼任，依法辦理人事管理事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 9 條,本所置主計員，依法辦理歲計、會計及統計事項。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 10 條,本所處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部民用航空局民航人員訓練所辦事細則（112.10.04訂定）,第 11 條,本細則自中華民國一百十二年九月十五日施行。
