法條名稱,法條編號,法條內容
交通部臺中港務局船舶機械修造工廠組織條例,第 2 條,交通部臺中港務局船舶機械修造工廠（以下簡稱本廠）掌理下列事項：一、設計、規劃、研究、施工、招標、驗收等事宜。二、文書、事務、出納等事宜。三、其他有關船舶機械修造事項。
交通部臺中港務局船舶機械修造工廠組織條例,第 3 條,本廠設二課、一機具保養場，分別掌理前條所列事項。
交通部臺中港務局船舶機械修造工廠組織條例,第 4 條,本廠置廠長一人，綜理廠務，並指揮監督所屬員工；副廠長一人，由臺中港務局正工程司兼任，襄理廠務。
交通部臺中港務局船舶機械修造工廠組織條例,第 5 條,本廠置課長二人，其中工務課課長由正工程司或副工程司兼任；場主任一人，由正工程司或副工程司兼任；正工程司一人，副工程司三人，幫工程司四人，工務員三人，勞工安全衛生管理員一人，課員一人，材料管理員一人，監工員二人，領班六人，事務士四人，操作士二十三人。
交通部臺中港務局船舶機械修造工廠組織條例,第 6 條,本廠設人事室，置主任一人，其資位依交通事業人員資位職務薪給表之規定，或職務列薦任第七職等至第八職等，依法辦理人事管理事項。
交通部臺中港務局船舶機械修造工廠組織條例,第 7 條,本廠設會計室，置會計主任一人，其資位依交通事業人員資位職務薪給表之規定，或職務列薦任第七職等至第八職等，依法辦理歲計、會計及統計事項。
交通部臺中港務局船舶機械修造工廠組織條例,第 8 條,本條例所列各職稱之資位，依交通事業人員資位職務薪給表之規定。原適用公務人員任用法之人事、會計人員各職稱之官等、職等，除本條例另有規定外，得依公務人員任用法有關職務列等表之規定。
交通部臺中港務局船舶機械修造工廠組織條例,第 9 條,本廠人員之任用，適用交通事業人員任用條例。但人事、會計人員之任用，並應適用人事、會計人員任用相關規定。本廠原依公務人員任用法任用之現職人員，得繼續適用相關規定至離職時為止。
交通部臺中港務局船舶機械修造工廠組織條例,第 10 條,本廠辦事細則，由本廠擬訂，層報交通部核定之。
交通部臺中港務局船舶機械修造工廠組織條例,第 11 條,本條例施行日期，由行政院以命令定之。
