第 1 條,本細則依交通部臺灣鐵路管理局所屬分支機構通則第十八條規定訂定之。
第 2 條,交通部臺灣鐵路管理局資訊中心（以下簡稱本中心）業務處理，除法令另有規定外，依本細則辦理之。
第 3 條,本中心掌理電子計算機操作、提高管理及營運有關資訊之建立、運用及供應業務。
第 4 條,經指派擔任電子計算機操作業務之人員，負責辦理下列事項：一、電腦主機系統與週邊設備之設計、採購與建置。二、電腦主機系統與週邊設備之管理、操作、維護、監控與技術支援等事項。三、電腦網路系統與網路工作站之設計、採購與建置。四、電腦網路系統與網路工作站之維運管理、監控與障礙排除等事項。五、電腦硬體系統之安全管理與研究改進事項。六、伺服器資料管理、資訊作業處理。七、電腦資料檔案之備份與管理。八、電腦售票資料庫之維護與管理。九、不斷電設備與機房消防設備之管理。十、電腦應用技術之提昇、操作人員之訓練。十一、原始資料建檔作業。十二、其他交辦事項。
第 5 條,經指派擔任提高管理及營運有關資訊之建立業務之人員，負責辦理下列事項：一、資訊體系之整體規劃與推動。二、管理資訊系統之規劃、分析、設計、測試、建置、維護、評估與撰擬。三、管理資訊系統資料庫之規劃、建立與管理控制。四、網際網路與企業內網路之建置、管理與推廣應用。五、資訊作業制度、標準及程序之研訂及改進事項。六、資訊安全政策、計畫及技術規範之研議、建置及評估等事項。七、系統軟體技術支援。八、管理資訊系統預算之規劃、執行、追蹤與效益評估事項。九、研究發展與辦理資訊教育訓練。十、其他交辦事項。
第 6 條,經指派擔任管理及營運有關資訊之運用及供應業務之人員，負責辦理下列事項：一、辦理週期性資料管制作業事宜。二、資料管制有關規定及文件之建立及修訂。三、管理資訊系統使用之輔導。四、辦理本局電腦效率查核事宜。五、本中心年度預算編列、執行、控管及帳務管理等事項。六、辦理庶務、物料等相關事務。七、辦理人事、政風、文書管理及相關事務。八、其他交辦事項。
第 7 條,主任綜理本中心業務，並指揮監督所屬員工，副主任襄助之。其餘各級人員，各承長官之命，處理業務。
第 8 條,本中心處理業務，實施分層負責制度，逐級授權決定，分層負責明細表報請企劃處核定實施。
第 9 條,各層主管對前條逐級授權事項，如發現被授權人有違反法令、逾越權限或指示原則者，得隨時糾正之，必要時並得變更授權範圍。
第 10 條,依分層負責之規定處理公務，如遇臨時特別案件必須緊急處理時，各層主管得依其職掌先行處理補請核定。
第 11 條,本中心各級人員因故不能執行職務或請假時，應依規定指定適當人員代理其職務。
第 12 條,本中心之業務會議，以主任、副主任、各級主管組成之。必要時得指定其他有關人員列席。
第 13 條,本細則自發布日施行。
