法條名稱,法條編號,法條內容
交通部船員訓練委員會組織規程,第 2 條,本會辦理左列事項：一、各項船員專業訓練場地設施之擬定。二、各項船員專業訓練課程內容之編審。三、各項船員專業訓練方式之研議。四、各項船員專業訓練師資水準之研議。五、各項船員專業訓練費用及收費標準之研擬。六、各項船員專業訓練訓練期間之研擬。七、各項船員專業訓練之現場會勘。八、各項船員專業訓練結訓證書格式之研擬。九、交通部與國際公約有關之法令規章之修訂。十、各船員訓練單位實施訓練情形之監督。十一、其他交通部交辦事項。
交通部船員訓練委員會組織規程,第 3 條,本會置主任委員一人，由交通部部長兼任、副主任委員二人，由交通部次長兼任、除主任委員、副主任委員為當然委員外，置委員九至十三人，由主任委員就國內外航業界及有關單位代表、專家、學者遴聘之。
交通部船員訓練委員會組織規程,第 4 條,本會設左列各組：一、執行組。二、財務組。
交通部船員訓練委員會組織規程,第 5 條,本會置組長二人，副組長二人、專員四人、組員八人，均為兼任。其中執行組組長、副組長由交通部航政司司長、副司長兼任，財務組組長、副組長由交通部會計長、副會計長兼任。
交通部船員訓練委員會組織規程,第 6 條,本會每六個月開會一次，必要時得舉行臨時會議，由主任委員為主席，主任委員不能出席時，由副主任委員為主席。
交通部船員訓練委員會組織規程,第 7 條,本會開會時，組長列席，必要時得邀請有關人員列席。
交通部船員訓練委員會組織規程,第 8 條,本會為辦理船員訓練工作，得設各級船員訓練班，其設置要點由交通部定之。
交通部船員訓練委員會組織規程,第 9 條,非經本會評定合格之訓練師、訓練員，不得從事船員訓練或檢定工作。前項評定辦法由交通部另定之。
交通部船員訓練委員會組織規程,第 10 條,本會兼任人員均為無給職。但得依規定支給出席費、交通費。
交通部船員訓練委員會組織規程,第 11 條,本會所需費用由交通部編列預算支應。
交通部船員訓練委員會組織規程,第 12 條,本規程自發布日施行。
