法條名稱,法條編號,法條內容
交通部花蓮港務局港埠工程處辦事細則,第 2 條,本處業務，除法令另有規定外，依本細則規定辦理。
交通部花蓮港務局港埠工程處辦事細則,第 3 條,本處設土木課、浚渫課、船舶機械修理廠。
交通部花蓮港務局港埠工程處辦事細則,第 4 條,土木課掌理下列事項：一、年度工程計畫概算編擬及工程綜合業務事項。二、本港土木建築工程設計、新建、整建、維修施工事項。三、工程施工項、決算編擬事項。四、工程（含代辦）施工監造、品管、估驗及竣工驗收作業事項。五、工程表報、資料彙整、施工問題處理事項。六、其他交辦事項。
交通部花蓮港務局港埠工程處辦事細則,第 5 條,浚渫課掌理下列事項：一、港灣疏浚工程計劃擬訂，預、決算編擬事項。二、港灣疏浚工程監造、品管、估驗及竣工驗收作業事項。三、港灣疏浚工程表報、資料彙整及施工問題處理事項。四、港勤工作船舶零配件請購、請領事項。五、港勤工作船舶保養、委修事項。六、港勤工作船船員管理事項。七、港勤工作船及船員工作調度事項。八、全港港池航道水深測繪及結構勘查事項。九、辦理文書：財產等行政綜合事項。十、其他交辦事項。
交通部花蓮港務局港埠工程處辦事細則,第 6 條,船舶機械修理廠掌理下列事項：一、修船設備新增汰舊計畫擬訂，預算籌編事項。二、船機修護工程預算、決算及竣驗事項。三、船機零星修護工作辦理事項。四、船機工程表報、資料彙整及施工問題處理事項。五、廠房設施、機具設備之保養及檢查事項。六、有關勞工安全管理事項。七、代辦船機承修事項。八、其他交辦事項。
交通部花蓮港務局港埠工程處辦事細則,第 7 條,處長綜理處務，並指揮監督所屬員工；副處長襄理業務。
交通部花蓮港務局港埠工程處辦事細則,第 8 條,課長、廠長承處長、副處長之命處理本單位事務。其餘各級人員，各承長官之命，辦理應辦事項。
交通部花蓮港務局港埠工程處辦事細則,第 9 條,處務會報每月召開一次，必要時得召開臨時會議，由處長主持，副處長、各課、廠主管、有關人員為出席人員，並得邀請有關人員列席。
交通部花蓮港務局港埠工程處辦事細則,第 10 條,處務會報以外之各項會議，視業務需要，由處長或指派專人主持，得隨時召開之。
交通部花蓮港務局港埠工程處辦事細則,第 11 條,本處各項業務之權責劃分，依分層負責明細表辦理。本處分層負責明細表由本處擬訂，報請交通部花蓮港務局核定之。
交通部花蓮港務局港埠工程處辦事細則,第 12 條,本細則自發布日施行。
