法條名稱,法條編號,法條內容
交通部處務規程,第 1 條,交通部（以下簡稱本部）為處理內部單位之分工職掌，特訂定本規程。
交通部處務規程,第 2 條,部長綜理部務，並指揮、監督所屬機關（構）及人員；次長襄助部長處理部務。
交通部處務規程,第 3 條,主任秘書權責如下：一、文稿之綜核及代判。二、機密及重要文件之處理。三、各單位之協調及權責問題之核議。四、重要會議之籌辦。五、其他交辦事項。
交通部處務規程,第 4 條,參事、技監權責如下：一、重要工作計畫及工程技術之建議。二、法規、制度、技術之研究及重要政務之建議。三、交通技術標準規範之指導。四、出席各種重要會議。五、其他交辦事項。
交通部處務規程,第 5 條,本部設下列司、處：一、綜合規劃司，分五科辦事。二、路政及道安司，分五科辦事。三、公共運輸及監理司，分五科辦事。四、航政司，分六科辦事。五、交通產業發展及國際事務司，分四科辦事。六、交通科技及資訊司，分五科辦事。七、秘書處，分五科辦事八、人事處，分四科辦事。九、政風處，分三科辦事。十、會計處，分六科辦事。十一、統計處，分三科辦事。十二、法制處，分三科辦事。
交通部處務規程,第 6 條,綜合規劃司掌理事項如下：一、施政方針、施政計畫之研擬、規劃、研究發展及推動。二、國營事業考成之指標研擬及績效評核。三、計畫管制、評核與內部控制及內部稽核。四、議事及性別主流化等相關事項。五、氣候變遷調適及溫室氣體減量政策之管考。六、交通技術規範之研擬及審議。七、重大工程之督導及考核。八、交通動員準備業務之規劃及督導。九、天然災害防救、交通設施反恐應變計畫之督導及執行。十、其他有關綜合規劃事項。
交通部處務規程,第 7 條,路政及道安司掌理事項如下：一、全國鐵道（鐵路、大眾捷運）與公路系統之政策擬訂及規劃。二、鐵道與公路建設計畫之審議、工程督導、考核及履勘。三、鐵道、公路系統場站與周邊地區土地開發及經營計畫之審議。四、道路交通工程之審議、督導及考核。五、鐵道與公路相關法規訂修及解釋之擬議。六、建置環島自行車道路網及停車管理業務之監督。七、全國道路交通安全政策之擬訂；地方政府執行道路交通安全計畫之審議、督導及考核。八、道路交通安全教育與推廣宣導之規劃及督導。九、車輛行車事故鑑定、覆議之督導與防制法規訂修及解釋之擬議。十、其他有關鐵道、公路及道路交通安全事項。
交通部處務規程,第 8 條,公共運輸及監理司掌理事項如下：一、道路交通管理之規劃、督導與法規訂修及解釋之擬議。二、公共運輸發展之政策規劃及督導。三、鐵道運輸、汽車運輸及公路監理業務之督導。四、車輛管理、駕駛人管理政策之規劃與法規訂修及解釋之擬議。五、車輛型式安全審驗、監理檢驗、安全性調查召回改正及車輛牌照核發業務之督導。六、駕駛人訓練、考驗及駕駛執照核發業務之督導。七、其他有關公共運輸及監理事項。
交通部處務規程,第 9 條,航政司掌理事項如下：一、航業、船舶、船員、海事、自由貿易港區、商港、民用航空相關法規訂修及解釋之擬議。二、航政業務相關國際約章之擬議、採用、發布施行等國內法化作業。三、海運、自由貿易港區、商港、民用航空發展政策及計畫之核議。四、海運航業、民用航空事業、港務及機場公司業務之督導。五、商港與航站管理、建設之監督及核議。六、自由貿易港區業務之督導及考核。七、船舶購建、檢查、丈量、登記或註冊及證書核發之監督。八、船員與駕駛訓練、證書核發業務及其訓練機構考核之監督。九、航路標識、引水及船舶航行安全之監督。十、其他有關海運、商港及民用航空事項。
交通部處務規程,第 10 條,交通產業發展及國際事務司掌理事項如下：一、郵政事業政策之規劃及督導。二、郵務、儲匯、簡易人壽保險業務之督導、管理與法規訂修及解釋之擬議。三、本部主管郵電財團法人及其轉投資事業之管理。四、本部主管財團法人及其轉投資事業之綜合行政管理。五、本部投資電信事業之公股股權管理。六、交通領域環境保護事項之督導、考核及推動。七、交通關聯產業發展之協調推動。八、促進民間參與交通建設與招商業務之督導考核、訪視輔導及相關問題之協調解決。九、國際、兩岸有關交通事務交流業務、對外雙邊與多邊經貿談判及協定之擬議。十、其他有關郵政與交通產業發展及國際事務事項。
交通部處務規程,第 11 條,交通科技及資訊司掌理事項如下：一、跨領域交通科技擴大應用與介面協調及國際交通科技交流。二、交通科技研發、應用、管理、推廣及考核。三、智慧運輸系統發展與數位轉型之規劃及推動。四、交通運輸資訊整體規劃、推動、建置及應用發展。五、交通運輸資訊資料蒐集、處理、利用、流通與標準之規劃及推動。六、資訊應用政策、服務策略規劃及協調推動。七、資訊應用環境整備、規劃及管理。八、資通安全督導、防護、規劃及推動。九、資訊管理與法制制度規劃及推動。十、其他有關交通科技及資訊事項。
交通部處務規程,第 12 條,秘書處掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財務、營繕、採購及其他事務管理。三、本部與所屬機關（構）辦公廳、宿舍等不動產之取得及管理配置。四、本部所屬機關（構）辦公廳、宿舍、檔案、財產、車輛管理之督導考核。五、國會聯絡、媒體公關事務之規劃、研擬、執行及管考。六、工友（含技工、駕駛）及駐衛警之管理。七、不屬其他各司、處事項。
交通部處務規程,第 13 條,人事處掌理本部人事事項。
交通部處務規程,第 14 條,政風處掌理本部政風事項。
交通部處務規程,第 15 條,會計處掌理本部歲計及會計事項。
交通部處務規程,第 16 條,統計處掌理本部統計事項。
交通部處務規程,第 17 條,法制處掌理事項如下：一、法規案件之審查。二、法規之整理及檢討。三、法規疑義之研議及闡釋。四、訴願案件之擬議。五、行政訴訟案件之協處。六、國家賠償案件之審議及統計。七、消費者保護事項之協調聯繫。八、其他法制、訴願及國家賠償業務。
交通部處務規程,第 18 條,本部處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部處務規程,第 19 條,本規程自中華民國一百十二年九月十五日施行。
