法條名稱,法條編號,法條內容
交通部觀光署各國家風景區管理處辦事細則,第 1 條,交通部觀光署各國家風景區管理處（以下簡稱管理處）為處理內部單位之分工職掌，特訂定本細則。
交通部觀光署各國家風景區管理處辦事細則,第 2 條,處長綜理處務，並指揮、監督所屬人員；副處長襄助處長處理處務。
交通部觀光署各國家風景區管理處辦事細則,第 3 條,秘書權責如下：一、工作計畫之擬編。二、文稿之綜核及代判。三、各單位業務之協調。四、行政事務之管理。五、會議之籌備、出席或主持。六、其他交辦事項。
交通部觀光署各國家風景區管理處辦事細則,第 4 條,各管理處得設科、室、管理站，如附表。未設人事室之管理處，置人事管理員。
交通部觀光署各國家風景區管理處辦事細則,第 5 條,企劃科掌理事項如下：一、觀光資源之調查及規劃。二、國家風景區計畫之擬議及執行。三、公民營事業機構於國家風景區內投資興建經營觀光、住宿及遊樂設施之鼓勵；轄管據點觀光服務公共設施之招商。四、觀光遊憩資訊之研究及統計。五、資訊作業之管理及資通安全之維護。六、國家風景區各項用地取得及土地使用案件之會辦。七、有關法規之蒐集、研究、整理及編纂。八、國家風景區管制規定之研擬。九、建築規劃管制及建築申請案件之會辦。十、其他有關企劃事項。
交通部觀光署各國家風景區管理處辦事細則,第 6 條,工務科掌理事項如下：一、建設工程之規劃。二、建設工程之探勘、測量及設計。三、建設工程之發包、施工及監造。四、植栽及綠化事宜。五、各項遊憩據點、公共設施之美化及維護。六、自然災害之治理工程。七、其他有關工務事項。
交通部觀光署各國家風景區管理處辦事細則,第 7 條,管理科掌理事項如下：一、轄管據點之經營與管理及對外交通之協調聯繫。二、觀光資源與特定生態、地質、景觀及水域資源之維護。三、國家風景區管理業務與管理站之聯繫及協調。四、轄管據點旅遊秩序、環境清潔、旅遊安全之維護及管理。五、轄管據點違反各項法規事件之處理。六、駐衛警察隊之聯繫及協調。七、其他有關管理事項。
交通部觀光署各國家風景區管理處辦事細則,第 8 條,遊憩科掌理事項如下：一、觀光遊憩活動之規劃、宣傳及執行。二、區域觀光資源推動及行銷之協助。三、遊憩與解說設施之規劃、設計及製作。四、觀光遊憩及解說宣傳資料之編印。五、遊憩與解說志工之培訓及管理。六、其他有關遊憩事項。
交通部觀光署各國家風景區管理處辦事細則,第 9 條,秘書室掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財物、營繕、採購及其他事務之管理。三、國會連絡、媒體公關事務之政策規劃、研擬、執行及管考。四、工友（含技工、駕駛）之管理。五、不屬其他各科、室、管理站事項。
交通部觀光署各國家風景區管理處辦事細則,第 10 條,人事室或人事管理員掌理管理處人事事項。
交通部觀光署各國家風景區管理處辦事細則,第 11 條,主計室掌理管理處歲計、會計及統計事項。
交通部觀光署各國家風景區管理處辦事細則,第 12 條,管理處得設管理站，掌理站區域內轄管據點事項如下：一、旅遊服務及解說之執行。二、旅遊秩序、環境清潔、旅遊安全之維護及管理之執行。三、觀光服務公共設施之管理及維修。四、觀光資源之保育；生態、地質、景觀及水域資源之維護。五、有關急難之救助。六、其他經管理處指定相關事項。
交通部觀光署各國家風景區管理處辦事細則,第 13 條,管理處處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部觀光署各國家風景區管理處辦事細則,第 14 條,本細則自中華民國一百十二年九月十五日施行。
