法條名稱,法條編號,法條內容
交通部鐵道局各工程分局辦事細則,第 2 條,分局長綜理分局業務，並指揮、監督所屬人員；副分局長襄助分局長處理分局業務。
交通部鐵道局各工程分局辦事細則,第 3 條,主任工程司權責如下：一、襄理工程分局工程建設有關事宜。二、主管業務之規劃、推動及執行。三、綜合文件之督導撰擬。四、主管業務報告之編擬。五、其他交辦事項。
交通部鐵道局各工程分局辦事細則,第 4 條,工程分局設下列科、室、段、隊，如附表。
交通部鐵道局各工程分局辦事細則,第 5 條,綜合科掌理事項如下：一、計畫之研擬、審查、修正、控管與資料蒐集及數據分析。二、土地之調查、徵收、撥用、登記之配合處理；地上物測量、查估及拆遷。三、專案計畫與工程簡報之彙整及製作。四、工程竣工後之財產移轉。五、工程施作紀要之彙整。六、資訊作業之管理及資通安全之維護。七、其他有關工程綜合事項。
交通部鐵道局各工程分局辦事細則,第 6 條,土建軌道科掌理事項如下：一、土建與軌道工程之設計、變更及預算編審。二、土建與軌道工程替代工法之研擬及審查。三、土建與軌道工程之景觀及公共藝術之設置。四、測量工程之督導及考核。五、軌道與測量材料、機具之招標文件編列、請購及檢驗。六、場站之佈置、工程設計及預算編審。七、土建與軌道工程及機電工程界面之整合協調。八、其他有關土建軌道事項。
交通部鐵道局各工程分局辦事細則,第 7 條,機電科掌理事項如下：一、機電工程之設計、變更及預算編審。二、機電工程替代工法之研擬及審查。三、機電工程施工及監造之督導。四、機電工程品質之查核及管考。五、機電工程及土建、軌道工程界面之整合協調。六、其他有關機電事項。
交通部鐵道局各工程分局辦事細則,第 8 條,工事科掌理事項如下：一、工程品質管理制度之執行及督導、查核之彙辦。二、工程履約爭議及人民陳情案件之處理。三、工程進度之管制、計價之審核及竣工之驗收。四、工程契約及圖說資料之管理。五、工程標案採購及相關專業訓練之辦理。六、工程材料及帳務之管理。七、土建與軌道工程施工、監造之督導及品質之查核、管考。八、其他有關工事事項。
交通部鐵道局各工程分局辦事細則,第 9 條,運務及安全衛生科掌理事項如下：一、場站及行車旅運設施新建或改建之協調。二、施工期間鐵路行車及公路交通維持之協調。三、軌道切換計畫之研擬及執行。四、鐵道系統營運前各階段檢查作業及營運之監督管理。五、職業安全衛生管理及教育訓練之辦理。六、工程災害之防救及緊急應變。七、計畫之環境影響評估、變更與承諾事項督導及水土保持之管理。八、其他有關運務及安全衛生事項。
交通部鐵道局各工程分局辦事細則,第 10 條,秘書室掌理事項如下：一、印信典守及文書、檔案之管理。二、出納、財務、營繕、採購及其他事務之管理。三、國會聯絡、媒體公關事務之規劃、研擬、執行及管考。四、工友（含技工、駕駛）之管理。五、不屬其他各科、室、段、隊事項。
交通部鐵道局各工程分局辦事細則,第 11 條,人事室掌理工程分局人事事項。
交通部鐵道局各工程分局辦事細則,第 12 條,政風室掌理工程分局政風事項。
交通部鐵道局各工程分局辦事細則,第 13 條,主計室掌理工程分局歲計、會計及統計事項。
交通部鐵道局各工程分局辦事細則,第 14 條,各工務段掌理事項如下：一、土建工程之施工、監造、品質管理及相關計畫書之擬訂或審查。二、土建工程工地安全衛生、環境保護及水土保持之管理。三、土建工程之設計變更及施工預算編審。四、土建工程施工期間鐵路行車及公路交通維持之協調。五、土建工程災害之緊急處理。六、土建工程竣工、驗收、決算及財產移轉之處理。七、其他有關工務段事項。
交通部鐵道局各工程分局辦事細則,第 15 條,各工程隊掌理事項如下：一、軌道與機電工程之施工、監造、品質管理及相關計畫書之擬訂或審查。二、軌道與機電工程工地安全衛生及環境保護之管理。三、軌道與機電工程之設計變更及施工預算編審。四、軌道與機電工程施工期間鐵路行車及公路交通維持之協調。五、軌道及機電工程災害之緊急處理。六、軌道與機電工程竣工、驗收、決算及財產移轉之處理。七、其他有關工程隊事項。
交通部鐵道局各工程分局辦事細則,第 16 條,工程分局處理業務，實施分層負責制度，依分層負責明細表逐級授權決定。
交通部鐵道局各工程分局辦事細則,第 17 條,本細則自中華民國一百十二年九月十五日施行。
