法條名稱,法條編號,法條內容
使用國營航空站助航設備及相關設施收費標準,第 1 條,本標準依民用航空法第三十七條第一項規定訂定之。
使用國營航空站助航設備及相關設施收費標準,第 2 條,使用國營航空站、助航設備及相關設施者，應依本標準繳納場站使用費、助航設備服務費或噪音補償金。
使用國營航空站助航設備及相關設施收費標準,第 3 條,本標準所稱場站使用費，指降落費、夜航費、停留費、滯留費、候機室設備服務費、地勤場地設備使用費、空橋或接駁車使用費、擴音設備服務費、航空站地勤業機坪使用費、空廚業機坪使用費、民用航空運輸業因業務需要自辦航空站地勤業務機坪使用費（以下簡稱自辦航空站地勤業務機坪使用費）、輸油設備使用費、安全服務費、飛機供電設備使用費、機艙空調使用費、自動行李分揀輸送系統使用費及轉機過境設施使用費；所稱助航設備服務費，指過境航路服務費、航空通信費及飛航服務費。
使用國營航空站助航設備及相關設施收費標準,第 4 條,降落費、夜航費、停留費，依下列規定收取：一、民用航空器飛航國際航線，按國際航線收費費率收費。二、民用航空器飛航國內航線，按國內航線收費費率收費。三、外籍民用航空器飛航國際航線，入境後或出境前在國內一個以上之飛行場、航空站起降時，其在國內之飛航視為國際之延長，仍按國際收費費率收費。前項各費之收取應按架次及機型計算，各民用航空器自降落至起飛為一架次。
使用國營航空站助航設備及相關設施收費標準,第 5 條,民用航空器於日落後日出前起飛或降落者得視需要收取夜航費，並均按一架次計算之。
使用國營航空站助航設備及相關設施收費標準,第 6 條,民用航空器在場、站內露天或機坪停留者，應計收露天停留費或機棚停留費；其在露天停留未超過二小時者免收。
使用國營航空站助航設備及相關設施收費標準,第 7 條,民用航空器因損壞、報廢或修理改裝而在場、站內停留者，按下列規定收取滯留費：一、損壞報廢之航空器，經民用航空局所轄航空站核准在指定之偏僻地點停留者，依機型按日收取滯留費，未滿一日者以一日計。但以六個月為限。逾期者，自逾期之日起按國內收費費率收取停留費。二、修理及改裝之民用航空器，經民用航空局所轄航空站核准在指定地點停留者，依機型按日收取滯留費，未滿一日者以一日計。但以三個月為限。逾期者，除另經核准延期外，自逾期之日起按國內收費費率收取停留費。
使用國營航空站助航設備及相關設施收費標準,第 8 條,本標準之各項費用，除另有規定外，依下列方式計收：一、候機室設備服務費、地勤場地設備使用費，按航空器每架次最大起飛重量計收。二、安全服務費，按航空器每架次最大起飛重量計收。三、擴音設備服務費，按國內航線架次計收。四、空橋或接駁車使用費，按航空器座位數及使用次數計收。五、輸油設備使用費，按輸油數量計收。六、飛機供電設備使用費、機艙空調機使用費，按使用性質及小時數計收。七、自動行李分揀輸送系統使用費，按出境航空器架次計收。八、過境航路服務費，按過境航空器使用次數計收。九、航空通信費，按使用性質分別計收。十、飛航服務費，按飛航國內航線或國際航線之航空器每架次最大起飛重量計收。十一、噪音補償金，於直轄市、縣（市）政府公告航空噪音防制區之航空站，按航空器每架次最大起飛重量、起飛音量計收。
使用國營航空站助航設備及相關設施收費標準,第 9 條,民用航空器合於下列規定之一者，減半收取降落費：一、屬民用航空運輸業及普通航空業所有，並經民用航空局核准從事訓練飛行。二、檢修後經核准從事試飛。
使用國營航空站助航設備及相關設施收費標準,第 10 條,民用航空器合於下列規定之一者，免收降落費及夜航費：一、擔任搜尋救護任務飛航。二、在飛航中遵照民用航空局所轄航空站之命令降落。三、屬民用航空運輸業及普通航空業所有，並飛往離島偏遠地區。前項第二款之民用航空器於規定期限內並得免收停留費。第一項第三款之離島偏遠地區包括：一、臺灣省臺東縣蘭嶼鄉、綠島鄉。二、臺灣省澎湖縣七美鄉、望安鄉。三、福建省連江縣北竿鄉、南竿鄉、莒光鄉、東引鄉。
