法條名稱,法條編號,法條內容
國家風景區管理處組織通則,第 2 條,管理處掌理國家級風景區左列事項：一、觀光資源之調查、規劃、開發、保育及特有生態、地質、景觀與水域資源之維護事項。二、風景區計畫之執行、公共設施之興建與維修事項。三、觀光、住宿、遊樂、公共設施及山地、水域遊憩活動之管理與鼓勵公民營事業機構投資興建經營事項。四、各項建設之協調及建築物申請建築執照之協助審查事項。五、環境衛生之維護及污染防治事項。六、旅遊秩序、安全之維護及管理事項。七、旅遊服務及解說事項。八、觀光遊憩活動之推廣事項。九、對外交通之聯繫配合事項。十、其他有關風景區經營管理事項。
國家風景區管理處組織通則,第 3 條,管理處視國家級風景區面積、特性及業務需要，分設二課至四課，掌理前條所列事項。
國家風景區管理處組織通則,第 4 條,管理處設秘書室、掌理文書、研考、印信、出納、庶務及其他不屬各課、室事項。
國家風景區管理處組織通則,第 5 條,管理處置處長一人，職務列簡任第十職等至第十一職等，綜理處務，並指揮監督所屬人員；副處長一人，職務列簡任第十職等，襄助處長處理處務。
國家風景區管理處組織通則,第 6 條,管理處置秘書一人，職務列薦任第八職等至第九職等；技正三人至五人，職務列薦任第七職等至第九職等；課長二人至四人，職務列薦任第八職等；專員三人，職務列薦任第七職等至第八職等；技士五人至十五人，課員七人至十五人，職務均列委任第五職等或薦任第六職等至第七職等；技佐三人至五人，職務列委任第四職等至第五職等，其中二人得列薦任第六職等；辦事員二人至四人，職務列委任第三職等至第五職等；書記二人至六人，職務列委任第一職等至第三職等。
國家風景區管理處組織通則,第 7 條,管理處設人事室，置主任一人，職務列薦任第六職等至第八職等，或置人事管理員一人，職務列委任第五職等至薦任第七職等，依法辦理人事管理事項。前項所需工作人員，應就本通則所定員額內派充之。
國家風景區管理處組織通則,第 8 條,管理處設會計室，置會計主任一人，職務列薦任第六職等至第八職等，或置會計員一人，職務列委任第五職等至薦任第七職等，依法辦理歲計、會計並兼辦統計事項。前項所需工作人員，應就本通則所定員額內派充之。
國家風景區管理處組織通則,第 9 條,管理處視風景區環境及業務需要，得分設管理站。管理站置主任一人，由管理處指派技正或專員兼任；所需工作人員應就本通則所定員額內派充之。管理站之設置標準，由交通部觀光局擬訂，層報行政院核定之。
國家風景區管理處組織通則,第 10 條,管理處設清潔隊，置隊長一人，由管理處派員兼任之。
國家風景區管理處組織通則,第 11 條,管理處置駐衛警察或商請警察機關置專業警察，辦理區內景觀資源、旅遊秩序、遊客安全等之維護及取締事項。
國家風景區管理處組織通則,第 12 條,第五條至第八條所定列有官等、職等人員，其職務所適用之職系，依公務人員任用法第八條之規定，就有關職系選用之。
國家風景區管理處組織通則,第 13 條,本通則施行前，已遴用之雇員，得繼續僱用至離職為止。
國家風景區管理處組織通則,第 14 條,管理處辦事細則，由各該處擬訂，報請交通部觀光局核轉交通部核定之。
國家風景區管理處組織通則,第 15 條,本通則自公布日施行。
