法條名稱,法條編號,法條內容
地方營民營及專用鐵路機構經營附屬事業規則,第 1 條,本規則依鐵路法（以下簡稱本法）第三十八條第三項規定訂定之。
地方營民營及專用鐵路機構經營附屬事業規則,第 2 條,地方營、民營鐵路機構得經營附屬事業之範圍，依本法第三十八條第一項之規定。本法第二十一條第一項第五款所稱培養、繁榮鐵路運輸及傳承鐵路文化所必需之其他事業，包括餐飲、旅館、觀光旅遊、鐵道文化創意、零售、百貨、不動產開發及管理等業務。
地方營民營及專用鐵路機構經營附屬事業規則,第 3 條,地方營、民營鐵路機構申請經營附屬事業，應提出下列文書報請主管機關核准：一、經營事業種類。二、經營計畫。三、財務計畫。前項第二款經營計畫，應包括下列事項：一、經營公司之公司章程或專責單位之組織。二、附屬事業自行經營或委託其他機構、團體、個人經營之方式。三、其他相關事項。第一項第三款之財務計畫，應包括下列事項：一、資金總額。二、資金來源。三、預期收益。四、附屬事業盈餘挹注本業方式。
地方營民營及專用鐵路機構經營附屬事業規則,第 4 條,前條第一項第一款之經營事業，依法令須經其他有關機關核准者，應於取得主管機關及其他有關機關核准後，始得經營。
地方營民營及專用鐵路機構經營附屬事業規則,第 5 條,主管機關審查及核准地方營、民營鐵路機構申請經營附屬事業，應符合下列各款規定：一、有助於鐵路運輸或建設者。二、財務計畫具可行性者。但確能增進公眾便利者，不在此限。三、符合公平交易法規定。四、不得有礙或影響鐵路運輸安全者。
地方營民營及專用鐵路機構經營附屬事業規則,第 6 條,地方營、民營鐵路機構經核准經營附屬事業者，其附屬事業之會計應依相關法令、會計制度規範及一般公認會計原則辦理。
地方營民營及專用鐵路機構經營附屬事業規則,第 7 條,專用鐵路機構經營附屬事業之範圍、申請程序、核准條件、營業、會計及其他相關事項，準用第二條至前條規定。專用鐵路機構申請經營附屬事業時，並應敘明理由，提出該目的事業主管機關同意書，報請主管機關核准。
地方營民營及專用鐵路機構經營附屬事業規則,第 8 條,交通部鐵道局應定期及不定期，派員檢查地方營、民營及專用鐵路機構附屬事業之經營狀況；必要時，得予查核，並命其提出帳簿、表冊、傳票、財務報表及其他有關文件。如認為辦理不善、影響鐵路運輸本業或違反相關法令之規定等缺失，應命其限期改善，必要時應停止其部分或全部運作。經依前項規定命其限期改善而屆期未改善或無改善之可能者，除依本法第六十七條規定辦理外，主管機關得廢止原依第三條規定核准經營附屬事業之全部或一部。
地方營民營及專用鐵路機構經營附屬事業規則,第 9 條,主管機關因業務上之需要，得將其審查及核准地方營、民營及專用鐵路機構經營附屬事業權限之一部，委辦該地方政府依本規則規定執行之。主管機關因業務上之需要，得將其審查及核准專用鐵路機構經營附屬事業權限之一部，委託該目的事業主管機關依本規則規定執行之。
地方營民營及專用鐵路機構經營附屬事業規則,第 10 條,本規則自發布日施行。
