法條名稱,法條編號,法條內容
小船管理規則,第 1 條,本規則依船舶法第八十三條第一項規定訂定。
小船管理規則,第 2 條,本規則所稱小船，指總噸位未滿五十之非動力船舶，或總噸位未滿二十之動力船舶。非動力船舶裝有可移動之推進機械者，視同動力船舶。
小船管理規則,第 3 條,小船適航水域，限於距岸三十海浬以內之沿海水域、離島之島嶼間、港內、河川及湖泊，並由航政機關視小船性能核定之。但經主管機關委託之驗船機構依小船之設計、強度、穩度及相關安全設備，另行核定適航水域者，不在此限。小船被拖曳航行，超過前項適航水域以外者，除緊急救難外，須經航政機關核准之。
小船管理規則,第 3-1 條,本規則中華民國一百零五年四月二十一日修正發布後，新申請建造或變更使用目的為專供小船所有人自用，不以客、貨運送、漁業或其他特殊使用為目的之小船，其總噸位不得逾五，且全船乘員最高限額應在十二人以下，並應設置可供搭載乘員之艙室。但航行內水者得不設置艙室。
小船管理規則,第 4 條,小船應具備下列文件，並於航行時隨船攜帶：一、小船執照。二、動力小船駕駛須持有有效之動力小船駕駛執照。
小船管理規則,第 5 條,小船未經檢查、丈量、註冊、發給執照，不得航行。
小船管理規則,第 6 條,小船抵押權之設定登記，依動產擔保交易法之規定。
小船管理規則,第 7 條,小船在航行中，船艏及兩舷不得懸掛包裹、禽籠或其他障礙物。
小船管理規則,第 8 條,載客小船不得兼載爆炸性、易燃性、有毒性、傳染性、放射性、壓縮性或有腐蝕性之危險物品。
小船管理規則,第 9 條,動力載客小船，其乘客艙室設置及乘客定額核定，依下列規定：一、除航行於內水，經航政機關核准於露天甲板搭載乘客者外，應依規定設置乘客艙室。下列處所不得作為乘客艙室：（一）船艏防碰艙壁以前處所。（二）艙室淨高未滿一百八十二公分之處所。但經航政機關認為在緊急時無妨乘客之逃生者，得酌減為一百四十公分。二、乘客艙室內出入口及通道，應符合下列規定：（一）乘客艙室內至少應有兩處儘可能遠離之逃生出口，其中之一得為正常進出之出口，出入口淨寬不得少於八十公分，其餘淨寬不得少於六十公分。（二）乘客艙室內通至出入口之通道，其淨寬不得少於六十公分，通至輪椅停靠位置及身心障礙者使用之衛生設備之通道，淨寬不得少於八十公分。（三）乘客艙室之面積未滿十五平方公尺者，得免依前目規定設置通道。三、乘客艙室內應為每一乘客設置固定座位，其設置基準如下：（一）座椅內緣之寬度及深度，均不得少於四十公分。（二）座椅前空間，不得少於三十五公分。（三）最內之座位，其中心離通道不得大於二公尺。四、甲板上之客位，以甲板可供載客之面積乘以零點八五後，不低於前款每一乘客所需面積之基準計算。但航行海域或其航線水流湍急，有灘礁或其他危險時，甲板不得核予客位。五、乘客艙室應符合下列佈置：（一）乘客之起居位置，應以不妨礙船舶之操作為原則。（二）乘客艙室，應有足夠之通風與照明。（三）未提供對號入座之載客小船應設置供行動不便者優先乘坐之博愛座，其比率不低於核定乘客定額百分之十五，並應於明顯處標示博愛座字樣，博愛座與走道間扶手需可活動，座位至艙門或出入口間之地板應平坦無障礙。（四）具固定航線、航次、場站及費率之載客小船應於易出入處，設置寬度不小於七十五公分且長度不小於一百三十公分之輪椅席位及其繫固系統，於輪椅席位旁設易於使用之扶手及服務鈴，服務鈴位置應於距牆角至少三十公分且距地板面高七十至九十公分範圍內，並於明顯處設置無障礙標誌。六、未滿一歲之兒童，不計入乘客定額。兒童之年齡，以登船時實足年齡為準，並以合法證明文件為依據。載客小船因船型、功用、適航水域或其他特殊原因，致無法依前項規定設置座位者，得由小船所有人敘明理由，申請航政機關在不影響乘客安全，不低於前項每一乘客所需面積之基準下酌情寬免。
小船管理規則,第 10 條,非動力小船載客者，就可載客之面積，以每客位零點四二平方公尺計算之。
小船管理規則,第 11 條,（刪除）
小船管理規則,第 12 條,載客小船應在駕駛臺旁船艛外及乘客入口處之板壁或明顯處所，以顯明油漆載明限載人數。
