法條名稱,法條編號,法條內容
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 1 條,本辦法依公路法第六十四條第三項規定訂定之。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 2 條,汽車運輸業之車輛，因行車事故致人、客傷害、死亡或財物毀損、喪失之損害賠償金額及醫藥補助費發給標準，依本辦法之規定。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 3 條,汽車運輸業之車輛，因行車事故致人、客傷害、死亡或財物毀損、喪失，依法應負損害賠償責任者，除醫療費用由汽車所有人或駕駛人負責支付外，其賠償金額之標準如左：一、死亡者，最高金額新臺幣二百五十萬元。二、重傷者，最高金額新臺幣一百四十萬元。三、非重傷者，最高金額新臺幣四十萬元。四、財物毀損、喪失之賠償金額由雙方協議定之。汽車運輸業已投保強制汽車責任保險者，其理賠金額視為前項賠償金額之一部分，汽車運輸業受賠償請求時，得扣除之。第一項第一款至第三款所定賠償標準，請求權人能證明實際所受損害較高者，不受其限制。第一項所定標準，不影響請求權人之訴訟請求權。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 4 條,汽車運輸業之車輛，因行車事故致人、客傷害或死亡，除因不可抗力不負損害賠償責任外，如能證明其事故之發生非由於其過失所致者，仍得依左列標準酌給喪葬或醫藥補助費：一、死亡者，最高金額新台幣十萬元。二、受傷者，按實補助醫藥費，最高金額新台幣七萬元。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 5 條,前二條醫藥費用，除因急救外，以就醫之公立醫院及政府辦理或特約之保險醫療院所為限。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 6 條,本辦法所稱重傷，依刑法第十條第四項之規定。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 7 條,汽車運輸業與死者家屬或傷者雙方就賠償或補助金額獲致協議時，應簽訂協議書，依協議書事項行使權利履行義務，事後不得再有異議。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 8 條,汽車運輸業因行車事故之肇事原因及其責任，依法應由當地之車輛行車事故鑑定委員會負責鑑定。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 9 條,本辦法之損害賠償及補助金額，必要時得酌予調整。
汽車運輸業行車事故損害賠償金額及醫藥補助費發給辦法,第 10 條,本辦法自發布日施行。
