法條名稱,法條編號,法條內容
海事報告規則,第 1 條,本規則所稱海事，指船舶沉沒、擱淺、碰撞、強制停泊或其他意外事故及有關於船舶、貨載、船員或旅客之非常事變。
海事報告規則,第 2 條,本規則所稱船舶，依海商法之規定。但不適用海商法之船舶，除軍事建制之艦艇外，得比照本規則之規定辦理之。
海事報告規則,第 3 條,船長遇船舶發生海事時，應依海商法第四十九條之規定，作成海事報告。前項海事報告之作成，於船長遭難死亡或失蹤時，由生還船員中職務最高者為之，全船遭難死亡或失蹤時，由船舶所有人或船舶代理人為之。海事報告應有海員或旅客之證明。但其報告係船長於遭難後，獨身脫險之處作成者，不在此限。
海事報告規則,第 4 條,海事報告應載明左列事項：一、製作海事報告年、月、日。二、船名。三、國籍及船籍港。四、船舶所有人。五、船舶營運人。六、建造完成之年、月、日。七、上次檢修日期。八、總噸位及淨噸位。九、主機種類、數目及推進動力。十、駕駛操縱系統。十一、觀測設備。十二、求救信號設備。十三、載客人數及載貨數量。十四、船艏艉吃水。十五、海事概述。十六、海事發生地點。十七、海事發生時間。十八、天候、海象及潮流。十九、船長姓名及執業證書。二十、輪機長姓名及執業證書。二十一、當值駕駛員、輪機員姓名及執業證書。二十二、引水人姓名。二十三、海事經過及處理。二十四、船長簽章。二十五、有關海員及旅客簽章。船長應照航政機關印置備用之空白海事報告書製作海事報告。但海事報告在國外製作時，不在此限。海事報告書格式，另定之。
海事報告規則,第 5 條,海事報告之送請簽證，依左列規定：一、船舶在港內發生海事者：（一）在國內送該港口之航政機關。（二）在國外送駐在該港口或其附近之中華民國使領館或具同等權責機構，當地航政機關或法院認可之公證人。二、船舶在航行中發生海事者：（一）在國內送該船舶或船長最先到達港口之航政機關。（二）在國外送該船舶或船長最先到達港之駐在該港口或其附近之中華民國使領館或具同等權責機構，當地航政機關或法院認可之公證人。船舶或船長到達前項第二款規定之最先港口，如因實際困難，不克簽證時，得說明理由，於到達其次港口時，送請簽證之。
海事報告規則,第 6 條,海事報告每次簽證一式五份。由航政機關簽證者，留存三份，發還二份，由其他機關簽證者，留存一份，發還四份。海事報告由國內非船籍港之航政機關簽證，其情節重大或有關者，該航政機關應將留存之三份中，以一份寄送船籍港航政機關。海事報告由國外有關權責簽證者。船長應將簽證之海事報告二份，於簽證後三日內，寄送船籍港航政機關。
海事報告規則,第 7 條,外國籍船舶依外國船舶運送業僱用中華民國船員辦法僱用我國船長、海員者，其海事報告之簽證依第五條之規定。
海事報告規則,第 8 條,海事報告在國內港口之航政機關簽證者。該航政機關應針對該海事案件之實際情形予以調查評議，為適當之處理。海事報告在國外港口之機關簽證者，其海事案件之調查評議由該船舶船籍港之航政機關辦理，但為船舶所有人或其代理人及船長、海員之便利，得由其住、居所最近之航政機關辦理之。
海事報告規則,第 9 條,海事報告送請簽證時，航政機關或有關權責機關除當時確知所報告之海事並未發生者外，應即予以簽證。海事報告之簽證，僅係證明船長已作成海事報告及將海事報告送請簽證之時間。但海事報告之內容及海事責任之認定，均不在簽證所證明範圍內。航政機關或有關權責機關簽證海事報告，應俟船長親自到場當面簽字。但經核對海事報告、航海日誌及護照上之船長簽字，認為得予簽證者，不在此限。
海事報告規則,第 10 條,海事報告之送請簽證，應於海事發生之後，或該船舶或船長到達第五條規定之港口後七日內為之。
海事報告規則,第 11 條,海事報告於國內簽證時，一式五份每次應繳納簽證費如左，每增加一份應增繳百分之十之費用：一、漁船、小船：新臺幣貳佰元。二、國輪：新臺幣肆佰元。三、外輪：新臺幣壹仟元。海事報告於國外簽證時，簽證費依簽證機關之規定。
海事報告規則,第 12 條,本規則自發布日施行。
