法條名稱,法條編號,法條內容
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 1 條,本辦法依獎勵民間參與交通建設條例（以下簡稱本條例）第十八條規定訂定之。本辦法未規定者，適用其他有關法令之規定。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 2 條,本辦法適用於本條例第五條所列之公路、大眾捷運系統、航空站、港埠及相關設施等四類交通建設。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 3 條,交通建設毗鄰地區之禁建，係指在禁建範圍內不得為左列行為：一、建築物之建造。二、障礙物之堆置。三、土石方工程或蓄水圍堤之開挖。四、廣告物之設置。五、其他足以妨礙交通建設興建及營運安全之行為。前項行為經主管機關認定於採取必要措施後，得予以許可者，不在此限。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 4 條,交通建設毗鄰地區之限建，係指在限建範圍內為前條第一項各款之行為時，應經當地直轄市或縣（市）政府會同主管機關之審核。前項之審核，若認為其行為有妨礙交通建設興建及營運安全時，得要求申請人變更工程設計或施工方式或採取必要補救措施。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 5 條,交通建設毗鄰地區之禁建、限建範圍由主管機關會同當地直轄市或縣（市）政府共同勘定範圍。範圍勘定後，由當地直轄市或縣（市）政府辦理公開展覽三十日，土地權利關係人得於公開展覽期間向主管機關以書面提出意見。由主管機關會同當地直轄或縣（市）政府參酌意見內容，確定禁建、限建範圍。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 6 條,禁建、限建範圍確定後，應由主管機關繪製地籍圖或地形圖，並依規定程序辦理核定後，送請當地直轄市或縣（市）政府公告實施，必要時埋設界樁。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 7 條,已公告實施之禁建、限建範圍因各交通建設變更或撤銷而應辦理變更或撤銷時，由主管機關依本辦法第五條程序辦理後，轉請當地直轄市或縣（市）政府公告之。主管機關應定期檢討禁建、限建之必要性，並於禁建、限建之原因消滅後，依前項規定辦理撤銷。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 8 條,本辦法禁建、限建範圍公告前之原有建築物、廣告物及其他障礙物除得為從來之使用或修繕外，不得增建或改建。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 9 條,禁建、限建範圍公告後，在禁建範圍內建築或設置中之建築物、廣告物或其他障礙物，應即停止施工。但經主管機關許可者，得於許可之範圍內繼續施工。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 10 條,違反本辦法之禁、限建規定之建築物、廣告物及其他障礙物，由主管機關商請當地直轄市或縣（市）政府令其限期修改或拆除，並不得請求任何補償，逾期不辦理者，得會同有關機關依行政執行法規定強制拆除。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 11 條,（刪除）
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 12 條,（刪除）
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 13 條,（刪除）
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 14 條,公路兩側土地禁建範圍依公路兩側公私有建築物與廣告物禁建、限建辦法第三條之規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 15 條,公路兩側之禁建、限建範圍依本辦法第六條規定，繪製圖籍之比例尺及其核定程序依公路兩側公私有建築物與廣告物禁建、限建辦法第四條之規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 16 條,大眾捷運系統兩側禁建之範圍依大眾捷運系統兩側公私有建築物與廣告物禁止及限制建築辦法第五條之規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 17 條,大眾捷運系統禁建、限建範圍依本辦法第六條規定，繪製圖籍之比例尺及其核定程序依大眾捷運系統兩側公私有建築物與廣告物禁止及限制建築辦法第九條規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 18 條,航空站、飛行場或助航設備四週之禁建、限建範圍，依飛航安全標準及航空站、飛行場、助航設備四週禁止、限制建築辦法第三條至第六條之規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 19 條,前條規定之禁建、限建範圍，依本辦法第六條規定，有關界樁之設立、樁位圖與禁建、限建地區平面圖之繪製及其核定程序，依飛航安全標準及航空站、飛行場、助航設備四週禁止、限制建築辦法第七條之規定辦理。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 20 條,港埠及其相關設施毗鄰地區之禁建、限建範圍，由主管機關按港埠及其相關設施之性質、種類、規劃需求及土地使用狀況，依本辦法第五條至第八條規定辦理之。
獎勵民間參與交通建設毗鄰地區禁限建辦法,第 21 條,本辦法自發布日施行。
