法條名稱,法條編號,法條內容
發展觀光條例裁罰標準,第 1 條,本標準依發展觀光條例（以下簡稱本條例）第六十七條規定訂定之。
發展觀光條例裁罰標準,第 2 條,違反本條例及依本條例所發布命令之行為，依本標準之規定裁罰。
發展觀光條例裁罰標準,第 3 條,前條行為，應依調查事實及證據之結果認定。
發展觀光條例裁罰標準,第 4 條,二個以上違反本條例及依本條例所發布命令之行為，應依本標準之規定分別裁罰。
發展觀光條例裁罰標準,第 5 條,觀光旅館業與其僱用之人員違反本條例及觀光旅館業管理規則之規定者，除位於直轄市之一般觀光旅館業，由直轄市政府依附表一之規定裁罰外，其餘之國際觀光旅館業及一般觀光旅館業，由交通部委任觀光局依附表一之規定裁罰。
發展觀光條例裁罰標準,第 6 條,旅館業與其僱用之人員違反本條例及旅館業管理規則之規定者，由直轄市或縣（市）政府依附表二之規定裁罰。
發展觀光條例裁罰標準,第 7 條,旅行業、旅行業經理人與旅行業僱用之人員違反本條例及旅行業管理規則之規定者，由交通部委任觀光局依附表三之規定裁罰。
發展觀光條例裁罰標準,第 8 條,觀光遊樂業與其僱用之人員違反本條例及觀光遊樂業管理規則之規定者，由交通部委任觀光局或由直轄市、縣（市）政府依附表四之規定裁罰。
發展觀光條例裁罰標準,第 9 條,民宿經營者違反本條例及民宿管理辦法之規定者，由直轄市或縣（市）政府依附表五之規定裁罰。
發展觀光條例裁罰標準,第 10 條,導遊人員違反本條例及導遊人員管理規則之規定者，由交通部委任觀光局依附表六之規定裁罰。
發展觀光條例裁罰標準,第 11 條,領隊人員違反本條例及領隊人員管理規則之規定者，由交通部委任觀光局依附表七之規定裁罰。
發展觀光條例裁罰標準,第 12 條,從事水域遊憩活動違反本條例及水域遊憩活動管理辦法之規定者，由水域遊憩活動管理機關依附表八之規定裁罰。
發展觀光條例裁罰標準,第 13 條,違反本條例及風景特定區管理規則有關國家級或直轄市級、縣（市）級風景特定區管理規定者，由交通部委任觀光局或由直轄市、縣（市）政府依附表九之規定裁罰。違反本條例第六十二條至第六十四條有關觀光地區管理規定者，由目的事業主管機關依附表九之規定裁罰。
發展觀光條例裁罰標準,第 14 條,旅客進入自然人文生態景觀區未依規定申請專業導覽人員陪同進入者，由目的事業主管機關依附表十之規定裁罰。
發展觀光條例裁罰標準,第 15 條,第五條、第七條、第八條第一項、第五項、第十條、第十一條及第十三條第一項之委任事項及委任依據應予公告，並刊登政府公報或新聞紙。
發展觀光條例裁罰標準,第 16 條,依本標準規定裁罰時，應製作書面之處分書；其格式及應記載事項，由交通部觀光局定之。但目的事業主管機關依本條例第六十二條至第六十四條規定裁罰時，其處分書之格式及應記載事項，由目的事業主管機關定之。
發展觀光條例裁罰標準,第 17 條,依本標準規定裁罰與調查事實及證據時，其有關文書之送達，依行政程序法之規定辦理。
發展觀光條例裁罰標準,第 18 條,本標準自發布日施行。
