法條名稱,法條編號,法條內容
臺灣地區漁船航行至大陸地區許可及管理辦法,第 2 條,依本辦法許可得航行至大陸地區之漁船，其航行得停泊之臺灣地區漁港及大陸地區港口，由行政院農業委員會報行政院核定後公告，並刊登政府公報。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 3 條,依本辦法許可得航行至大陸地區之漁船種類及噸級，由行政院農業委員會公告，並刊登政府公報。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 4 條,申請航行至大陸地區之漁船，其漁業人應填具申請書並檢附事業計畫書及相關文件，經該管漁船主管機關核轉或逕由行政院農業委員會許可後，始得為之。前項許可期間，以二年為限。依第一項許可之漁船，其漁業人變更者，應重新提出申請。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 5 條,申請航行至大陸地區之漁船或漁業人有下列情形之一者，不予許可：一、非屬第三條公告之漁船種類及噸級。二、經依第十條第二項規定，廢止許可未滿二年。三、經依本條例第八十條第四項規定，處分一定期間之停航，執行完畢後未滿二年。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 6 條,依第四條許可之漁船，其漁業人應於每月十日前，依行政院農業委員會所定格式，向該管漁船主管機關申報前一月之航次及相關統計資料。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 7 條,依第四條許可之漁船，漁業人及船長每航次應全程開啟船位回報器，並維持正常運作。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 8 條,依第四條許可之漁船，除其他法規另有規定外，不得自大陸地區載運任何物品返回臺灣地區漁港。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 9 條,依第四條許可之漁船於進出漁港時，其漁業人或船長應向海岸巡防機關報驗實施安全檢查。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 10 條,未經許可之漁船，或依第四條許可之漁船，航行至大陸地區停泊於第二條公告以外之大陸地區港口者，依本條例第八十條規定處罰。依第四條許可之漁船，有下列情形之一者，行政院農業委員會得令其改正，並依漁業相關法規處罰；情節重大者，並得廢止其許可：一、未依第六條規定，申報前一月之航次及相關統計資料或為不實之申報。二、未依第七條規定開啟船位回報器及維持其正常運作。三、未依第九條規定向海岸巡防機關報驗實施安全檢查。
臺灣地區漁船航行至大陸地區許可及管理辦法,第 11 條,本辦法自發布日施行。
