法條名稱,法條編號,法條內容
航空人員體格檢查業務委託辦法,第 1 條,本辦法依民用航空法第二十六條第三項規定訂定之。
航空人員體格檢查業務委託辦法,第 2 條,申請辦理航空人員體格檢查業務之醫療機關、團體，應檢附下列文件一式二份向民用航空局（以下簡稱民航局）申請，經民航局審查合格，發給委託證書後，始得執行業務。一、經衛生福利部立案之有效證明文件。二、具有符合下列條件之醫師名冊及證明文件：（一）國、內外醫學院醫學系畢業。（二）具有衛生福利部核發之醫師證書或曾接受航空醫學訓練，具有國內外相關經歷證照者。（三）具有三年以上臨床經驗。三、經衛生福利部認可具有濫用藥物尿液檢驗作業能力之有效證明文件。前項委託證書之有效期間為五年；效期屆滿前三個月內，醫療機關、團體得向民航局申請換證。
航空人員體格檢查業務委託辦法,第 2-1 條,受委託辦理航空人員體格檢查業務之醫療機關、團體，應依基本安全管理原則實施醫學評估作業，該作業應具備下列功能：一、定期分析飛航失能及體格檢查結果，以查明風險增加之項目。二、針對體格檢查中風險增加之項目，持續辦理醫學評估程序。受委託辦理航空人員體格檢查業務之醫療機關、團體，應依醫學評估結果，對體格檢查及格證（以下簡稱體檢證）持有人實施與航空相關之健康促進活動，以降低與醫學相關之飛行安全風險。
航空人員體格檢查業務委託辦法,第 3 條,受委託之醫療機關、團體除應督導及管理其醫師應依航空人員體格檢查標準及其相關規定執行航空人員體格檢查業務外，並得從事下列業務：一、航空人員之心理檢測及諮商服務。二、航空人員濫用藥物尿液檢驗作業。三、急救訓練、心肺復甦術及航空生理教育工作。四、推動航空醫學活動，促進航空醫學交流事項。五、有關航空醫學之研究發展事項。
航空人員體格檢查業務委託辦法,第 4 條,受委託之醫療機關、團體之醫師於執行航空人員體格檢查業務時，應依航空人員體格檢查標準及其相關規定辦理，民航局得隨時查核之，發現有未依規定辦理者，得終止委託。
航空人員體格檢查業務委託辦法,第 5 條,受委託之醫療機關、團體之體檢醫師於執行航空人員體格檢查後，應簽署檢診結果，並由該醫療機關、團體向民航局提出應否發給體檢證之建議。民航局於接獲第一項之檢診結果及建議後，經考量認有進一步評估缺點免計之必要時，得交付航空醫學評鑑員進行評鑑。
航空人員體格檢查業務委託辦法,第 5-1 條,民航局得委託醫療機關、團體之人員擔任航空醫學評鑑員。受委託之航空醫學評鑑員應符合下列資格條件：一、具有合格且有效之專科醫師證書及實際執業經驗。二、須於民航局認可之航空醫學單位或組織完成航空醫學相關訓練。三、具有專業知識與能力，足以判斷受檢人員之身體與精神狀況能否安全執行職務。四、具有三年以上實際航空醫學相關工作經驗。
航空人員體格檢查業務委託辦法,第 6 條,受委託之醫療機關、團體所辦理之航空人員體格檢查紀錄應保存十年，並應每年定期將工作紀錄擇要陳報民航局備查。
航空人員體格檢查業務委託辦法,第 7 條,受委託之醫療機關、團體應每半年將執行航空人員體格檢查業務之收支情形陳報民航局審核，經民航局審核有補助經費之必要者，民航局得編列預算支應。
航空人員體格檢查業務委託辦法,第 8 條,本辦法自發布日施行。
