法條名稱,法條編號,法條內容
航行船舶船員最低安全配置標準,第 1 條,本標準依船員法第七十條之一第二項規定訂定之。
航行船舶船員最低安全配置標準,第 2 條,船舶船員員額配置，依本標準規定辦理，本標準未規定者，依其他相關法令辦理。軍事建制之艦艇、海岸巡防機關之艦艇及漁船，不適用本標準。
航行船舶船員最低安全配置標準,第 3 條,本標準依船舶航行之航線、種類、大小分為下列四種：一、國際航線船舶船員最低安全配額，應依附表一規定配置。二、國內航線船舶船員最低安全配額，應依附表二規定配置。三、臺灣地區與大陸地區通航船舶船員最低安全配額，應依附表三規定配置。四、特種用途船舶船員最低安全配額，應依附表四規定配置。
航行船舶船員最低安全配置標準,第 4 條,雇用人申請自動控制船舶船員最低安全配額，應檢具船員最低安全配額證書申請書（如附表五），向航政機關申請核定之。前項自動控制船舶之輪機裝備應經主管機關或其委託之驗船機構檢驗合格。
航行船舶船員最低安全配置標準,第 5 條,雇用人因船舶設備、用途或其他特殊情況致本標準無法適用，必須配備低於本標準所定最低安全配額者，應檢具船員最低安全配額證書申請書（如附表五）及相關文件，向航政機關申請核定之。船舶類型無法適用第三條各款附表者，依前項規定辦理。自動控制船舶之雇用人提出第一項之申請案，航政機關於必要時得命其先經六個月以上之實驗，待實驗期滿，再由雇用人另行檢具實驗經過報告書（如附表六），連同實驗期間之航海日誌影本，報請航政機關依第一項規定辦理。
航行船舶船員最低安全配置標準,第 6 條,航行船舶船員依其職責分屬艙面、輪機、電信及事務部門，除電信部門外，各部門應分別配置適當之甲級船員及乙級船員，但電信人員得由持有證書之艙面部門船員兼任之。特種用途船舶船員依其職責分為艙面及輪機部門，各部門應分別配置適當之甲級、乙級船員。
航行船舶船員最低安全配置標準,第 7 條,航行船舶電信人員依船舶無線電通信設備分為非全球海上遇險及安全系統船舶無線電台及全球海上遇險及安全系統船舶無線電台，其最低安全配置應符合全球海上遇險及安全系統船舶航行當值最低安全配額表（如附表七）規定。
航行船舶船員最低安全配置標準,第 8 條,航行船舶船員在任何二十四小時內，至少應有十小時以上之休息，且在七天內至少應有七十七小時之休息時間。但因緊急、操演或其他不可抗力情事者，不在此限。前項十小時之休息時間得分為二段，其中一段至少應有六小時以上，且相連二段休息時間之間隔不得超過十四小時。前二項十小時之休息時間，得調整為至少一次連續六小時。但以不超過二天為限。因海上航行遇突發狀況致船員須於前三項休息時間內工作者，應給予補休。雇用人應依國際勞工組織制定之標準格式製作船員工作安排表，以中英文呈現，並張貼於船員易接近之處。雇用人應依國際勞工組織制定之標準格式記錄船員休息時間，以中英文呈現，並給予船員一份由船長及其本人簽署之紀錄副本。
航行船舶船員最低安全配置標準,第 9 條,航行船舶應由雇用人檢附申請書（如附表五），向航政機關申請核發船員最低安全配額證書（如附表八、附表九），置備於船上，以應檢查。船員配置之降等、減配或其他限制條件，應於證書上記載。國際航線船舶航行國際海域，因船員生病、傷亡、不可預期之事由或其他不可抗力因素等特殊情況，無法於國外港口完成船員替補，致船員配置低於船員最低安全配額證書所載員額，由雇用人檢附申請書（如附表十）及相關文件，向航政機關提出申請，經航政機關審查不致對人員、財產、環境產生危害，核發特免證明者（如附表十一），其艙面或輪機部門船員得各少於船員最低安全配額證書所定員額一人。前項特免證明之效期以六個月為限。第三項特免證明之特免對象，除不可抗力之情況得將船長或輪機長列入外，以次一級職位之船員為限。其未持有適當證書者，應由船長測試通過並提供該船員之適格證明，供航政機關審查。
航行船舶船員最低安全配置標準,第 10 條,船員最低安全配額證書之效期為五年。雇用人領有中華民國一百零六年十二月三十一日前核發之船員最低安全配額證書，應於中華民國一百十一年十二月三十一日前向航政機關申請換發。
航行船舶船員最低安全配置標準,第 11 條,本標準自中華民國一百零七年一月一日施行。本標準修正條文自發布日施行。
