法條名稱,法條編號,法條內容
船舶編管及運用辦法,第 1 條,本辦法依全民防衛動員準備法（以下簡稱本法）第二十條第三項規定訂定之。
船舶編管及運用辦法,第 2 條,為配合建立全民防衛動員體系，因應動員準備階段及動員實施階段任務需要，相關船舶及人員應依本辦法編管及運用（以下簡稱編用）。
船舶編管及運用辦法,第 3 條,本辦法編用船舶範圍，係指經依法註冊登記之船舶。
船舶編管及運用辦法,第 4 條,船舶編管主管機關、編管執行機關及需求運用機關如下：一、船舶編管主管機關：交通部。二、商用船舶及其船員編管執行機關：交通部航港局。三、漁船及其船員編管執行機關：行政院農業委員會漁業署及直轄市、縣（市）政府。四、軍事需求運用機關：國防部及所屬軍事機關。五、行政需求運用機關：中央各機關、直轄市及縣（市）政府。前項第一款業務交通部得委任交通部航港局辦理。
船舶編管及運用辦法,第 5 條,為利執行編管前條規定範圍之船舶及其船員，依交通部航港局劃分之轄區範圍，分為北部航務中心、中部航務中心、南部航務中心及東部航務中心四大區域。前項各區域內除漁船外，各該船舶之登記或註冊機關，應將其所登記註冊之船舶及其船員，依船舶種類分別施予編管。其所編管之資料應於每年三月底前提送交通部航港局彙整，該局應於每年四月底前報送交通部彙辦，以提供需求運用機關編用。漁船及其船員，由漁船所屬漁政主管機關分別施予編管，報送行政院農業委員會漁業署彙整，該署應於每年四月底前送交通部彙辦，以提供需求運用機關編用。
船舶編管及運用辦法,第 6 條,對編管之各類船舶及其船員，各編管執行機關應定期實施調查、統計及異動校正。
船舶編管及運用辦法,第 7 條,編管執行機關或因配合動員需要填發船舶運用通知，應於規定報到時限二十四小時前送達船舶所有人親自簽收，如本人不在時，應由其所屬機關（構）、公司、行號或具有行為能力之同居人或受僱人代為簽收轉達。
船舶編管及運用辦法,第 8 條,受通知運用之船舶所有人，應盡量保持該船舶之適航狀態，並依規定時間、地點向需求運用機關報到。
船舶編管及運用辦法,第 9 條,船舶需求運用機關對於受運用之各型船舶及其船員，負指揮運用之權責。
船舶編管及運用辦法,第 10 條,對編管各類船舶及船員之演習、徵用、補償及解除徵用事項，依本法及相關法令之規定辦理。
船舶編管及運用辦法,第 11 條,本辦法自發布日施行。
