法條名稱,法條編號,法條內容
船舶運送業聯營監督辦法,第 1 條,本辦法依航業法（以下簡稱本法）第十五條第二項規定訂定之。
船舶運送業聯營監督辦法,第 2 條,本辦法所稱船舶運送業聯營組織（以下簡稱聯營組織），係指從事國內固定航線之船舶運送業間就該航線之運費、票價、運量、座位及排班等事項訂立聯營組織章程或協議書成立之組織。
船舶運送業聯營監督辦法,第 3 條,船舶運送業申請實施聯營，應擬具聯營計畫書，並檢附下列文件一式二份，申請航政機關核轉主管機關許可：一、申請書。二、聯營組織章程或協議書。
船舶運送業聯營監督辦法,第 4 條,參與聯營組織之船舶運送業、營運船舶及聯營組織章程或協議書有變更時，聯營組織應於變更後三十日內向航政機關申請許可。
船舶運送業聯營監督辦法,第 5 條,聯營組織章程或協議書之內容至少應包括下列事項：一、目的。二、任務。三、聯營航線。四、聯營業者加入、退出及船舶異動之規範。五、聯營內容。六、聯營組織解散時，參與聯營組織船舶運送業間之權利義務及聯營組織員工權益之處置。
船舶運送業聯營監督辦法,第 6 條,聯營組織應依核定之聯營計畫書、聯營組織章程或協議書，從事聯營行為。聯營組織涉及結合行為者，應就具體個案，事前向公平交易委員會申報。參與聯營行為之船舶運送業，係屬同一特定市場具有水平競爭關係，且該聯營行為足以對市場供需功能發生影響者，應就具體個案，事前向公平交易委員會申請許可。
船舶運送業聯營監督辦法,第 7 條,為確保聯營組織之健全經營，航政機關必要時除得令聯營組織於限期內提供相關營運資訊、財務報表或其他相關資料外，並得隨時派員檢查聯營組織之營運、財務及其他有關事項。
船舶運送業聯營監督辦法,第 8 條,聯營組織有下列情形之一者，航政機關得報請主管機關限期命其停止或改正聯營行為，必要時，並得廢止其許可：一、許可聯營之事由消滅。二、聯營事項有違公共利益或不利航業發展者。三、違反設立許可之附加條件、限制或負擔者。四、隱匿財產或妨礙主管機關查核者。五、對業務、財產為不實之陳報者。六、違反聯營組織章程或協議書者。七、未依第三條規定申請實施聯營許可，而從事聯營行為者。八、未依第四條規定申請變更者。九、未依核定之聯營計畫營運者。十、運費、票價顯有不當者。
船舶運送業聯營監督辦法,第 9 條,本法及本辦法有關聯營組織之監督及其處罰事項，主管機關得委任航政機關辦理。
船舶運送業聯營監督辦法,第 10 條,本辦法自發布日施行。
