第 1 條,本辦法依發展觀光條例第五十二條第一項規定訂定之。
第 2 條,本辦法之獎勵，以確能提高觀光地區、風景特定區或自然人文生態景觀區之聲譽，並能發揮文學藝術創作水準，吸引觀光旅客前往旅遊，對促進觀光產業之發展有重大貢獻之作品為對象。
第 3 條,觀光文學藝術作品獎每年由交通部觀光局配合經費編列情形，就左列作品種類及項目擇項舉辦之，必要時得委託文藝社團舉辦，並於觀光節頒發。一、文學類（一）小說。（二）散文。（三）報導文學。（四）詩歌。二、藝術類（一）音樂：器樂曲（獨奏或合奏）、聲樂曲（獨唱或合唱）。（二）影劇：舞台劇、廣播劇及影視。（三）美術：繪畫、雕塑、及攝影。（四）民族藝術。為應觀光宣傳之需，交通部觀光局得就前項所列項目外具有宣傳價值者擇辦之。
第 4 條,獎勵名額每項以錄取一名為原則，並得視作品水準擇優酌取佳作若干名，每名各頒贈獎金及獎狀。獎金數額由交通部觀光局視舉辦之項目及經費編列情形分別訂定之。前項各獎勵名額，經評定無入選作品時，該獎勵名額從缺。入選作品如係共同創作者，獎狀各一，獎金平均分配。
第 5 條,申請獎勵者，由左列人員推薦之：一、中央及省（市）、縣（市）觀光、文教機關主管。二、政府立案之各級學校校長、文學院院長、藝術學院院長及文學、藝術、觀光有關系（科）主任或研究所所長。三、政府立案之文學、藝術、觀光團體、國軍文宣單位及新聞傳播事業單位之負責人。
第 6 條,參加者應依附表之格式填具申請書，並簽章保證作品係作者本人之創作。
第 7 條,為審查觀光文學藝術作品，得設評審委員會。評審委員會置主任委員一人，副主任委員一人，委員七人至二十三人，主任委員由交通部指派，副主任委員由教育部指派，委員由主任委員聘任之。
第 8 條,觀光文學藝術作品獎之評審標準由評審委員議定之。評審委員出席評審會議，審查觀光文學藝術作品得支領審查費。
第 9 條,交通部觀光局公告舉辦觀光文學藝術作品獎，得製定申請須知，規定當次獎勵作品之種類及項目、申請期間、作品規格、數量及本辦法所規定之重要事項。
第 10 條,參加之作品以最近三年內完成之創作，尚未獲其他獎金、獎章或獎狀獎勵者為限。無法移動之作品得由評審委員赴實地評審之。
第 11 條,參加之作品經發現有不符前條之規定或侵害他人著作權者，取消獲獎資格，其已受領之獎金及獎狀，並應繳回。
第 12 條,依本辦法獲獎之作品，交通部觀光局可作為觀光宣傳推廣之用，其餘作品於評審結束後，作者應於一個月內至原收件單位領回，逾期不負保管責任。
第 13 條,獎勵作品所需之經費由交通部觀光局編列預算支應之。
第 14 條,本辦法自發布日施行。
