法條名稱,法條編號,法條內容
車輛編管及運用辦法,第 1 條,本辦法依全民防衛動員準備法（以下簡稱本法）第二十條第三項規定訂定之。
車輛編管及運用辦法,第 2 條,為配合建立全民防衛動員體系，因應動員準備階段及動員實施階段任務需要，相關車輛及人員應依本辦法編管及運用（以下簡稱編用）。
車輛編管及運用辦法,第 3 條,車輛及人員編用範圍之內容如下：一、車輛編用範圍，指經公路監理機關登記發照之車輛。但下列車輛免予編用：（一）警備、消防、救護、垃圾、水肥、靈車、幼童車、搶修交通、郵政、電信、電力、石油、自來水等具有特種裝置之車輛。（二）機車、小客車（轎式、旅行式）。（三）依法享有豁免權之各型車輛。二、人員編用範圍，指具備可駕駛編用車輛之本國職業駕駛人。但下列人員免予編用：（一）後備官士兵身分。（二）年齡逾六十歲。
車輛編管及運用辦法,第 4 條,車輛編用機關權責如下：一、車輛編用主管機關：交通部。二、車輛編用執行機關：公路監理所、站。三、軍事需求機關：國防部及所屬軍事機關。四、行政需求機關：中央各機關、直轄市及縣（市）政府。五、協調機關：國防部全民防衛動員署後備指揮部、直轄市、縣（市）後備指揮部。前項第一款業務交通部得委任交通部公路局辦理之。
車輛編管及運用辦法,第 5 條,編用機關及車輛所有人或管理人，應配合車輛編管及運用需要，提供相關動員能量資料及支援。
車輛編管及運用辦法,第 6 條,公路監理所、站對轄管車輛應依所轄區域，分別編用。
車輛編管及運用辦法,第 7 條,公路監理所、站對編用之車輛及駕駛人，應定期實施相關調查、統計及異動校正。
車輛編管及運用辦法,第 8 條,有關車輛編用作業規定，由交通部公路局另訂之。
車輛編管及運用辦法,第 9 條,交通部公路局及各公路監理機關應配合年度相關動員計畫辦理演訓。
車輛編管及運用辦法,第 10 條,依本辦法編用之車輛及人員之演習、徵用、補償及解除徵用事項，依本法及其相關法令之規定辦理。
車輛編管及運用辦法,第 11 條,對配合辦理車輛編用有具體貢獻者，得給予適當獎勵。
車輛編管及運用辦法,第 12 條,本辦法自發布日施行。
