法條名稱,法條編號,法條內容
道路交通安全講習委託辦理辦法,第 2 條,道路交通安全講習得委託公私立機構、法人或團體（以下簡稱受託機構）辦理。公路主管機關為執行本辦法之事項，得委任所屬下級機關辦理。前項情形，該管公路主管機關應將委任事項及法規依據公告之，並刊登政府公報或新聞紙。
道路交通安全講習委託辦理辦法,第 3 條,申請受委託辦理講習資格者（以下簡稱申請機構），應檢附由負責人具名之受託辦理道路交通安全講習計畫書（如附件一），向該管公路主管機關申請核准。前項計畫書內容應包含下列事項：一、申請機構名稱、簡介及組織章程。二、一年以上之課程開班規劃，含課程班別、課程日期時間、課程時數、可供上課人數、教材大綱。三、申請機構負責人、主辦（專職）人員、擬聘講師身分資料、經歷及其相關證明文件、可任教班別。四、建物及土地可供辦理講習使用之土地使用分區與使用權利證明文件及講習場所平面圖（應標明教室面積，並標明辦公室及安全衛生等設備位置）。如建物或土地非屬自有者，應檢附自申請日起使用期間二年以上之使用權利證明文件。五、其他經該管公路主管機關指定之事項。該管公路主管機關於受理第一項之申請後，應派員實地審查，審查紀錄表如附件二。第一項之申請經核准者，由該管公路主管機關與受託機構簽約，受託機構依本辦法及道路交通安全講習辦法辦理講習。
道路交通安全講習委託辦理辦法,第 4 條,受託機構應設置可對外營運及講習上課之場所，並符合下列規定：一、教室應可容納三十至八十人，平均每一學員使用面積不得少於一點二平方公尺。二、教室應有良好之採光、照明、通風；樓梯寬度、防火避難設施及消防設備等，應符合相關法令之規定。三、教室配備有講習所需設備，包含課桌椅、電腦、投影機、擴大機、麥克風、空調及播放器等。四、教室需配備有遠端監控錄影設備。
道路交通安全講習委託辦理辦法,第 5 條,受託機構辦理道路交通安全講習，所聘講師應具備下列資格之一，並檢附相關合格證照或在職證明，經公路主管機關審核：一、經公路主管機關設立之訓練機構道路交通管理法規或道路交通安全講習專業訓練結業領有證書。二、曾任或現任經教育部認可之高中（職）以上學校交通法規、交通管理、交通工程、汽車或機械相關課程教師滿二年以上。三、曾任或現任機關車輛行車事故鑑定會或覆議會委員滿二年以上。四、曾任或現任警察機關交通執法或交通事故處理職務二年以上。五、領有中央主管機關核發之醫師、護理師、心理師、其他醫事專門職業證書或社會工作師證書之人員。六、曾從事酒駕防制工作二年以上之專業人士或社會工作人員。
道路交通安全講習委託辦理辦法,第 6 條,受託機構有下列變動事項時，應檢具相關文件（如附件三）報請該管公路主管機關審查核准：一、講習場所地址變更、遷移、增設或縮減。二、負責人或名稱異動。三、主辦（專職）人員或講師之異動或增減。四、班別之異動或增減。五、暫停辦理委託講習業務。六、其他依本辦法規定應申請變更之事項。
道路交通安全講習委託辦理辦法,第 7 條,汽車駕駛人、汽車所有人、動力機械駕駛人、動力機械所有人或其他相關之人參加講習時，應向受託機構繳納講習費用。
道路交通安全講習委託辦理辦法,第 8 條,公路主管機關應定期或不定期派員查核受託機構之講習實施情形，並做成查核紀錄（紀錄表如附件四）。查核內容包含行政管理、師資、教室、教材、教具及上課情形等事項。
道路交通安全講習委託辦理辦法,第 9 條,受託機構完成講習後應依上課日期、班別，將學員名單及其講習通知單號造冊妥善保管並上傳公路監理系統註記銷案。前項清冊及上課情形之全程錄影資料，應至少保存三年供公路主管機關查驗。
道路交通安全講習委託辦理辦法,第 10 條,受託機構有下列情形之一者，公路主管機關得依合約核減次期講習人數或停止辦理講習，並限期改善：一、完訓後未依前條規定銷案或學員超過核定之招收人數。二、未依規定開班、講習時數不足或不依規定收費。三、未經核准擅自增設講習場所或變更核准以外之講習場所講習。四、未經核准擅自變更主辦（專職）人員、講師或負責人。五、拒絕、規避或阻撓查核。六、偽造講習名冊或註記銷案不實。七、場所設施管理不當致學員死傷。八、無有效之土地使用權利證明文件。九、其他違反本辦法規定之事項。
道路交通安全講習委託辦理辦法,第 11 條,受託機構有下列情形之一者，公路主管機關得廢止其受委託資格：一、有前條各款情事之一，且情節重大。二、有前條各款情事之一，經依前條規定限期改善，仍未改善。三、經前條規定依合約受核減次期核定講習人數而仍超過人數，或受停止辦理講習而仍繼續辦理講習。受託機構有下列情形之一者，公路主管機關應廢止其受委託資格：一、擅自停止辦理委託講習業務一個月以上或申請暫停辦理委託講習業務連續達一年後未申請復班。二、於三年內違反前條第五款至第七款規定，受停止辦理講習處置達兩次。三、因辦理講習業務涉及刑事責任經該管檢察機關起訴或緩起訴。前二項經廢止辦理講習資格之受託機構，原受託機構及該受託機構登記地址三年內不得申請辦理道路交通安全講習。受託機構違反本辦法之處分規定，應於公路主管機關與受託機構簽訂之合約中明定之。
道路交通安全講習委託辦理辦法,第 12 條,本辦法施行日期，由交通部另定之。
