法條名稱,法條編號,法條內容
鐵路專用側線修建及使用規則,第 1 條,鐵路專用側線之修建、養護及使用，除鐵路法令另有規定外，依本規則之規定。
鐵路專用側線修建及使用規則,第 2 條,本規則所稱專用側線，係指公私營事業機關團體所修建，專供事業本身運輸之用者而言。但自備行車動力及具有鐵路應有之設備者，應依興建專用鐵路之規定申請立案發照。
鐵路專用側線修建及使用規則,第 3 條,修建專用側線應開具左列各款事項，申請管轄鐵路核准：一、公私營事業機關團體之名稱、地址及負責人之姓名、住址。二、專用側線之位置及長度。三、用途及運輸數量。四、建築計畫及圖說。五、其他必要事項。
鐵路專用側線修建及使用規則,第 4 條,前條各款事項經管轄鐵路審核確實，認為有修建必要時，應先與申請人簽訂合約，並記載左列各款事項：一、專用側線起訖地點及長度。二、用途。三、施工條件。四、養護方式。五、應繳各費之數目及繳納手續。六、其他應共同遵守之事項。
鐵路專用側線修建及使用規則,第 5 條,專用側線之設計及建築，由管轄鐵路辦理，所需工料各費，由申請人負擔。
鐵路專用側線修建及使用規則,第 6 條,建築費用由管轄鐵路估列，由申請人按照合約規定繳納之。前項費用全部繳清後，專用側線始得啟用。
鐵路專用側線修建及使用規則,第 7 條,建築材料，如由申請人購備，須經管轄鐵路檢驗合格，始准使用。路基、橋涵等工程得准申請人自辦。但應受管轄鐵路之指導監督。
鐵路專用側線修建及使用規則,第 8 條,申請人自辦之工料，其費用由應繳之建築費內，如數扣除。
鐵路專用側線修建及使用規則,第 9 條,因建築專用側線須改變管轄鐵路之現有路線、站場時，其變更費用概納入該專用側線之建築費計算。
鐵路專用側線修建及使用規則,第 10 條,申請人擬變更專用側線之全部或一部時，須申請管轄鐵路核准辦理，其變更費用由申請人負擔。
鐵路專用側線修建及使用規則,第 11 條,管轄鐵路因站場擴建或其他原因，須變更專用側線之全部或一部時，申請人應無條件予以同意，其所需費用由管轄鐵路負擔。
鐵路專用側線修建及使用規則,第 12 條,專用側線使用管轄鐵路所有土地時，申請人應按該鐵路土地出租之規定繳納地租。
鐵路專用側線修建及使用規則,第 13 條,專用側線在其路界範圍內之軌道及其附屬物，屬於申請人所有。但與管轄鐵路路線銜接之道岔，其所有權應歸管轄鐵路。
鐵路專用側線修建及使用規則,第 14 條,專用側線與管轄鐵路路線之界限，應於側線竣工圖面上標明之。
鐵路專用側線修建及使用規則,第 15 條,專用側線之經常養護，由申請人自理，或另訂代辦養護合約，委託管轄鐵路辦理。
鐵路專用側線修建及使用規則,第 16 條,專用側線如遇天災事變須特別整修或更換設備時，其所需費用概由申請人負擔。前項費用，於該項工程動工前繳納。
鐵路專用側線修建及使用規則,第 17 條,專用側線需經管轄鐵路試運轉認可後，始准使用。
鐵路專用側線修建及使用規則,第 18 條,專用側線有關員工，除管轄鐵路之調車司機外，概由申請人自行雇用，並接受管轄站長之指導監督。
鐵路專用側線修建及使用規則,第 19 條,專用側線發到貨物及調車等事宜，依管轄鐵路之有關規定辦理。
鐵路專用側線修建及使用規則,第 20 條,申請人如在專用側線內損壞管轄鐵路之車輛及有關設備或其他導致鐵路之損失時，應由申請人負責賠償。但應歸責於管轄鐵路者，不在此限。
鐵路專用側線修建及使用規則,第 21 條,申請人應納之租金及其他各項費用，如逾期三十日仍未繳納，管轄鐵路得停止供應調車並追償欠費。
鐵路專用側線修建及使用規則,第 22 條,本規則自公布日施行。
