法條名稱,法條編號,法條內容
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 2 條,鐵路機構因行車及其他事故致人死亡、傷害或財物毀損、喪失之損害賠償、卹金或醫藥補助費發給，除法律另有規定外，依本辦法之規定。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 3 條,因可歸責於鐵路機構之行車或其他事故，致人死亡或傷害者，除醫療費用由鐵路機構負責支付外，其賠償金額如下：一、死亡者，新臺幣二百五十萬元。二、重傷者，新臺幣一百四十萬元。三、受重傷以外之傷害者，最高金額新臺幣四十萬元。受害人能證明其受有前項規定金額以外更大損害者，得就其實際損害，請求賠償。前二項規定，不影響請求權人之訴訟請求權。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 4 條,鐵路行車或其他事故之發生，能證明非由於鐵路機構之過失者，對於受害人死亡或傷害之卹金或醫藥補助費，除事故之發生係出於受害人之故意或過失行為者不予發給外，其應酌給之最高金額如下：一、受害人為旅客：（一）死亡者，新臺幣二百五十萬元。（二）重傷者，新臺幣一百四十萬元。（三）受重傷以外之傷害者，新臺幣四十萬元。二、受害人非旅客者，依前款規定金額減半辦理。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 5 條,前二條事故，另有應負責之人者，鐵路機構得向該應負責之人求償。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 6 條,鐵路機構依第三條及第四條應負之責任，鐵路機構應另投保責任保險。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 7 條,鐵路機構因行車及其他事故，致人財物毀損、喪失，應歸責於鐵路機構者，其賠償金額如下：一、託運人託運之貨物、行李、包裹，依民法及其契約規定賠償。二、旅客未託運之隨身攜帶物品，除依規定免費之兒童不予賠償外，每一旅客最高金額不超過新臺幣一萬元。三、前二款規定以外非運送財物，由雙方協議定之。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 8 條,第三條及第四條之醫藥費用，除因急救外，以就醫之公立醫院及政府辦理或特約之保險醫療院所為限。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 9 條,本辦法所稱重傷，依刑法第十條第四項之規定。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 10 條,鐵路機構與死者之繼承人或傷者，就賠償或補助金額獲致協議時，應簽訂協議書，並依協議行使權利履行義務。前項情形，由受害人之繼承人以外之人，支出醫療或殯葬費用者，其賠償依民法第一百九十二條規定辦理。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 11 條,鐵路因行車或其他事故之肇事原因及其責任，必要時由鐵路監理機構聘請專家組成小組鑑定之。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 12 條,本辦法之損害賠償及補助費金額，必要時得酌予調整之。
鐵路機構行車與其他事故損害賠償及補助費發給辦法,第 13 條,本辦法自發布日施行。
