法條名稱,法條編號,法條內容
鐵路行車人員技能體格檢查規則,第 1 條,本規則依鐵路法第五十六條之四第三項規定訂定之。
鐵路行車人員技能體格檢查規則,第 2 條,鐵路行車人員包括下列人員：一、駕駛人員：在列車或車輛上擔任駕駛工作之人員。二、行控人員：於鐵路中央行車控制設備之處所執行列車或車輛進路控制、行車保安、電力調度、列車或車輛運用調度、設施監控、運轉整理等行車控制作業之人員。三、乘務人員：於列車上執行列車防護、軔機操作或運轉號訊控制作業之人員。四、站務人員：於鐵路就地行車控制設備之處所執行正線進路控制，或於場、站內執行行車運轉、列車防護、號訊控制作業之人員。五、維修檢查人員：於正線執行軌道維修、電車線路維修、運轉保安設備維修作業結束後之檢查人員，或客貨用機車車輛軔機、轉向架、全車維修作業結束後之檢查人員。鐵路機構應將前項各款人員之職務歸類及其工作內容報交通部鐵道局備查，變更時亦同。
鐵路行車人員技能體格檢查規則,第 3 條,鐵路機構應指派經體格檢查及技能檢定合格之人員擔任行車人員。客貨車駕駛人員、維修工程車駕駛人員、車輛調動機駕駛人員並應經適性檢查合格。前項適性檢查之執行方式、項目及合格基準，由鐵路機構依鐵路特性訂定，報請交通部鐵道局備查後實施。依第一項規定應經適性檢查合格人員，已依本規則中華民國一百零一年三月十九日修正施行前規定擔任鐵路行車人員者，視為適性檢查合格。本規則中華民國一百十二年三月二十日修正施行前已擔任第二條維修檢查人員者，視為第一項規定之首次派任前體格檢查及技能檢定合格。
鐵路行車人員技能體格檢查規則,第 4 條,鐵路行車人員體格標準分為甲類、乙類及丙類體位，其適用對象如下：一、甲類體位：（一）駕駛人員。（二）行控人員。（三）乘務人員。二、乙類體位：於鐵路就地行車控制設備之處所執行正線進路控制之站務人員。三、丙類體位：（一）第二款以外之站務人員。（二）維修檢查人員。
鐵路行車人員技能體格檢查規則,第 5 條,甲類體位鐵路行車人員體格檢查項目及合格基準如下：一、聽力：左右耳不用助聽器收聽五百、一千及二千赫頻率之信號時，聽力皆平均在四十分貝以下。二、視力：兩眼辨色力正常、無斜視，且兩眼矯正視力均在零點八以上。但駕駛人員兩眼矯正視力均在一點零以上。三、無下列情形之一者：（一）慢性酒精中毒。（二）施用毒品、藥物成癮。（三）發育不全或骨骼肌肉畸型，足以妨礙工作。（四）法定傳染病患。但經醫師臨床診斷，確認無影響行車安全者，不在此限。（五）心理精神異常、語言、知覺、運動或智能等機能障礙或癲癇症等發作性神經系疾病。（六）肌腱異常及骨膜關節等慢性疾病患。（七）平衡機能顯著障礙。（八）患有高血壓或心血管疾病，經臨床診斷不能勝任緊急事故應變。（九）患有其他足以妨礙工作之疾病。鐵路機構得依行車需求，就前項各款訂定更嚴格之基準，或增訂前項各款以外之體格檢查項目及基準。
鐵路行車人員技能體格檢查規則,第 6 條,乙類體位鐵路行車人員體格檢查項目及合格基準如下：一、聽力：不用助聽器收聽五百、一千及二千赫頻率之信號時，好耳聽力平均在四十分貝以下，差耳聽力平均在五十分貝以下。二、視力：兩眼辨色力正常、無斜視，且兩眼矯正視力均在零點八以上。三、無下列情形之一者：（一）慢性酒精中毒。（二）施用毒品、藥物成癮。（三）發育不全或骨骼肌肉畸型，足以妨礙工作。（四）法定傳染病患。但經醫師臨床診斷，確認無影響行車安全者，不在此限。（五）心理精神異常、語言、知覺、運動或智能等機能障礙或癲癇症等發作性神經系疾病。（六）肌腱異常及骨膜關節等慢性疾病患。（七）平衡機能顯著障礙。（八）患有高血壓或心血管疾病，經臨床診斷不能勝任緊急事故應變。（九）患有其他足以妨礙工作之疾病。鐵路機構得依行車需求，就前項各款訂定更嚴格之基準，或增訂前項各款以外之體格檢查項目及基準。
鐵路行車人員技能體格檢查規則,第 7 條,丙類體位檢查項目及合格基準由鐵路機構訂定報交通部鐵道局備查後實施。
鐵路行車人員技能體格檢查規則,第 8 條,行車人員經派任後，應依下列規定期限定期實施體格檢查：一、駕駛人員每年至少檢查一次。但年逾六十歲者，每半年至少檢查一次。二、行控人員每年至少檢查一次。三、前二款以外之行車人員每三年至少檢查一次。除前項定期檢查外，鐵路機構認為於行車人員健康情形異常或其他必要情況時，應實施臨時檢查。
鐵路行車人員技能體格檢查規則,第 9 條,鐵路行車人員之體格檢查應由公立醫院、衛生福利部評鑑合格之教學醫院或報經交通部鐵道局同意之醫療機構施行。
鐵路行車人員技能體格檢查規則,第 10 條,鐵路行車人員之體格檢查不合格者，鐵路機構應即暫停或合理調整其職務，保障其就業權利。鐵路行車人員自覺難以勝任行車工作時，應即主動請求鐵路機構停止其勤務。鐵路機構接獲報告或認有必要時，得洽請符合前條規定之醫療機構施行該行車人員身體之全部或部分之檢查。前項鐵路行車人員重新執行行車工作前，鐵路機構應實施體格檢查合格後，始得派任。
