法條名稱,法條編號,法條內容
高速船管理規則,第 1 條,本規則依船舶法（以下簡稱本法）第三十七條規定訂定之。
高速船管理規則,第 2 條,高速船指依高速船安全國際章程及其修正案設計、建造，且船舶航行時最大船速在參點柒乘以設計水線時排水體積（立方公尺）之零點一六六七次方以上，以每秒公尺計（公尺／秒）之船舶。
高速船管理規則,第 3 條,本規則不適用於下列船舶：一、地面效應船。二、小船。三、漁船。四、遊艇。
高速船管理規則,第 4 條,高速船之檢查及發證，由航政機關辦理。下列高速船安全證書之發證，主管機關得委託驗船機構辦理：一、國際航線高速船安全證書。二、已向驗船機構申請入級之國內航線高速船安全證書。
高速船管理規則,第 5 條,航行國際航線之高速船，經驗船機構檢查符合其高速船建造與入級規範（以下簡稱高速船規範）者，由驗船機構簽發國際航線高速船安全證書（附件一）。航行國內航線之高速船，航政機關得委託驗船機構檢查，符合本規則規定者，由航政機關簽發國內航線高速船安全證書（附件二）；已向驗船機構申請入級者，由該機構代為簽發高速船安全證書。前二項由驗船機構簽發高速船安全證書者，應由其依本規則及高速船規範施行檢查，並逐月將檢查報告送航政機關備查。船舶所有人或船長應將高速船安全證書或副本置於船上處所。
高速船管理規則,第 6 條,高速船之航行區域或航線，依其營運航線中二靠泊港間之航行距離、航路狀況、避難地及氣候等因素，由船舶所有人、營運人或船長檢附圖說及航路操作手冊報請航政機關核定。高速船距基地港或避難地之最大許可距離，應由航政機關評估第三十六條第二項所定事項後核定。
高速船管理規則,第 7 條,載客超過十二人之高速船，除本規則另有規定外，適用客船管理規則。
高速船管理規則,第 8 條,特殊設計之高速船，不能適用本規則規定時，由船舶所有人、營運人或船長向航政機關申請採取同等安全之替代措施，並於高速船安全證書註記。
高速船管理規則,第 9 條,高速船所有人、營運人或船長應適時更新航路操作手冊、船舶操作手冊、船舶維修手冊及船舶保養計畫送請航政機關審查後置於船上，並由船長依手冊規定操作、演練、保養與記錄。
高速船管理規則,第 10 條,高速船之檢查分為特別檢查、定期檢查及臨時檢查。高速船有下列情形之一者，應施行特別檢查：一、高速船建造完成或取得。二、高速船安全證書有效期間屆滿。高速船經特別檢查合格後，於每屆滿一年之前後三個月內，應施行定期檢查。高速船有本法第二十七條所定情形者，應施行臨時檢查。
